family,config,tf,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,n_long_events,n_short_events,realized_cost_bps,gross_edge_bps
B-stopping-volume,K>=10 wick-upper40% stop1.5xATR tgt2xstop hold24h,15m,0.5419599077995834,1.0839198155991667,24,309,-13.307361370486788,29.773462783171524,-41.11974663480418,-41.611077000809324,72,-25.16089838404183,22.22222222222222,-18.11584683651012,-19.986045443301883,0.75,3.0570866141732282,FAIL,305,255,7.155345176945751,-8.392054684291598
B-stopping-volume,K>=10 wick-upper40% stop1.5xATR tgt3xstop hold8h,15m,0.5419599077995834,1.62587972339875,8,372,-9.894912118634759,30.913978494623656,-36.80907308132131,-37.091010965142395,77,-18.556520866422446,20.77922077922078,-14.288521067145288,-16.000012153274,1.0,2.5367483296213806,FAIL,305,255,7.05134356864164,-4.328966932130429
B-stopping-volume,K>=10 wick-upper40% stop1.5xATR tgt3xstop hold24h,15m,0.5419599077995834,1.62587972339875,24,309,-11.793366485850084,25.5663430420712,-36.44150244127676,-37.94203919719635,72,-17.723021742203677,20.833333333333336,-12.760575654386653,-15.837565490321758,1.0,4.018372703412074,FAIL,305,255,7.4744500075874045,-5.439481251116902
B-stopping-volume,K>=10 wick-upper50% stop1.0xATR tgt2xstop hold8h,15m,0.36130660519972224,0.7226132103994445,8,486,-9.05190114583826,31.893004115226336,-43.99223956877394,-44.31091364318966,115,-12.491608913347148,29.565217391304348,-14.365350250349218,-14.946062585304354,0.25,1.093594009983361,FAIL,426,362,6.671096304169799,-3.0389851965162507
B-stopping-volume,K>=10 wick-upper50% stop1.0xATR tgt2xstop hold24h,15m,0.36130660519972224,0.7226132103994445,24,384,-11.072888665566724,28.645833333333332,-42.519892475776224,-43.00545873320978,103,-10.808170780713093,31.06796116504854,-11.132415904134485,-11.36904730698324,0.25,1.2813141683778233,FAIL,426,362,7.054127442611851,-3.962773662092606
B-stopping-volume,K>=10 wick-upper50% stop1.0xATR tgt3xstop hold8h,15m,0.36130660519972224,1.0839198155991667,8,486,-9.22572756003628,26.337448559670783,-44.83703594177633,-44.96696854856192,115,-12.831810018790582,22.608695652173914,-14.756581521609169,-15.637441867398664,0.25,1.5499168053244592,FAIL,426,362,6.887223540147101,-3.0285197981865917
B-stopping-volume,K>=10 wick-upper50% stop1.0xATR tgt3xstop hold24h,15m,0.36130660519972224,1.0839198155991667,24,384,-11.609946939240354,21.614583333333336,-44.58219624668296,-44.973111973899336,103,-12.646293745637415,22.330097087378643,-13.025682558006535,-13.517126333302759,0.25,2.018993839835729,FAIL,426,362,7.394634305265076,-4.434498919517162
B-stopping-volume,K>=10 wick-upper50% stop1.5xATR tgt2xstop hold8h,15m,0.5419599077995834,1.0839198155991667,8,486,-9.935885352864236,33.95061728395062,-48.2884028149202,-48.28840281492019,115,-13.74638564953471,30.434782608695656,-15.808343496964916,-17.731244481006247,0.75,2.1576539101497505,FAIL,426,362,6.16842771610824,-4.496588309163825
B-stopping-volume,K>=10 wick-upper50% stop1.5xATR tgt2xstop hold24h,15m,0.5419599077995834,1.0839198155991667,24,384,-12.917211126101911,29.166666666666668,-49.60209072423134,-50.022639580513854,103,-14.875035795227058,29.126213592233007,-15.321286869083872,-16.76234451407581,0.75,3.015400410677618,FAIL,426,362,6.700664350829395,-6.630624682705556
B-stopping-volume,K>=10 wick-upper50% stop1.5xATR tgt3xstop hold8h,15m,0.5419599077995834,1.62587972339875,8,486,-9.136568772596965,31.48148148148148,-44.403724234821254,-45.832175452214365,115,-12.754935334535359,25.217391304347824,-14.668175634715663,-17.506727854973374,1.0,2.6385191347753745,FAIL,426,362,6.473457244673309,-3.3554778417721
B-stopping-volume,K>=10 wick-upper50% stop1.5xATR tgt3xstop hold24h,15m,0.5419599077995834,1.62587972339875,24,384,-11.767813220127275,24.739583333333336,-45.188402765288735,-46.2237700996035,103,-10.761907648579898,24.271844660194176,-11.08476487803729,-13.756176706102746,1.0,3.988193018480493,FAIL,426,362,7.072837015291117,-4.482228209211148
C-shock-continuation,K>=4 continuation stop1.0xATR tgt2xstop hold8h,15m,0.36130660519972224,0.7226132103994445,8,1947,-3.6751197723748565,35.695942475603495,-71.55458196813845,-72.6492183375029,607,-6.864556186157924,33.27841845140033,-41.6678560499786,-42.06342251303048,0.25,1.172670321064996,FAIL,4586,4761,5.538284792467651,1.1051431316173348
C-shock-continuation,K>=4 continuation stop1.0xATR tgt2xstop hold24h,15m,0.36130660519972224,0.7226132103994445,24,1054,-4.460048679132606,35.7685009487666,-47.00891307805767,-50.71991546046579,359,-8.397415409625028,32.31197771587744,-30.146721320553848,-32.0544523702815,0.25,1.341648973814579,FAIL,4586,4761,7.134230906279842,1.6738179976732235
C-shock-continuation,K>=4 continuation stop1.0xATR tgt3xstop hold8h,15m,0.36130660519972224,1.0839198155991667,8,1947,-3.0941522433969464,29.738058551617875,-60.24314417893854,-65.53649213808227,607,-5.411795646998505,28.00658978583196,-32.84959957728092,-34.18139777238312,0.5,1.5260375880971027,FAIL,4586,4761,6.783400748907008,3.138422528224962
C-shock-continuation,K>=4 continuation stop1.0xATR tgt3xstop hold24h,15m,0.36130660519972224,1.0839198155991667,24,1054,-3.9883392915253024,27.988614800759017,-42.03709613267669,-46.1755523684362,359,-7.9475806823963815,25.069637883008355,-28.53181464980301,-31.93328758513277,0.5,1.8225406935598019,FAIL,4586,4761,7.74403938881988,2.749778186945875
C-shock-continuation,K>=4 continuation stop1.5xATR tgt2xstop hold8h,15m,0.5419599077995834,1.0839198155991667,8,1947,-2.792266857003733,37.23677452491012,-54.36543570586267,-63.49422833373231,607,-3.2307306788964554,37.39703459637562,-19.610535220901482,-23.288084608824118,1.0,2.2147611589663274,FAIL,4586,4761,7.2126142945889935,4.316139317033622
C-shock-continuation,K>=4 continuation stop1.5xATR tgt2xstop hold24h,15m,0.5419599077995834,1.0839198155991667,24,1054,-3.6018735418818246,36.14800759013283,-37.96374713143443,-51.438930239537854,359,-5.134853035655328,35.37604456824512,-18.43412239800263,-21.797269889365026,1.0,2.797062986553432,FAIL,4586,4761,7.88789611146382,3.8965394568681324
C-shock-continuation,K>=4 continuation stop1.5xATR tgt3xstop hold8h,15m,0.5419599077995834,1.62587972339875,8,1947,-1.9572936116986777,31.99794555726759,-38.10850661977325,-59.20194882569402,607,-1.1085807025198233,32.28995057660626,-6.729084864295332,-21.7095843219036,1.5,2.7614526233359435,FAIL,4586,4761,8.336640680894188,6.5810576157388025
C-shock-continuation,K>=4 continuation stop1.5xATR tgt3xstop hold24h,15m,0.5419599077995834,1.62587972339875,24,1054,-1.7597749852942413,29.506641366223906,-18.5480283450013,-53.482463629015754,359,-1.3997973623815867,29.247910863509752,-5.0252725309498985,-15.875407132585572,1.5,3.698690728945506,FAIL,4586,4761,9.61898624529111,7.950670542817564
