family,config,tf,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,n_events_tr_va,realized_cost_bps,gross_edge_bps,base_tool,threshold,k
2-bos,k5 choch eqfilt=False tgt2x hold5d,1h,2.7271034170827533,5.454206834165507,120,223,-17.89480322725418,35.874439461883405,-39.90541119677682,-52.11926662571555,74,16.73351907369773,37.83783783783784,12.382804114536317,-34.492206664147105,33.0,47.7003367003367,FAIL,1366,,,,,
2-bos,k5 choch eqfilt=False tgt2x hold15d,1h,2.7271034170827533,5.454206834165507,360,85,-37.647237588588446,29.411764705882355,-32.00015195030018,-39.433197301665174,29,-3.6339071593902816,34.48275862068966,-1.0538330762231762,-17.486116134668553,27.0,51.280701754385966,FAIL,1366,,,,,
2-bos,k5 choch eqfilt=False tgt3x hold5d,1h,2.7271034170827533,8.18131025124826,120,223,-21.33535980651421,30.94170403587444,-47.577852368526685,-60.07690728448624,74,46.21571320835077,36.486486486486484,34.199627774179575,-36.51718779243991,40.0,55.12457912457913,FAIL,1366,,,,,
2-bos,k5 choch eqfilt=False tgt3x hold15d,1h,2.7271034170827533,8.18131025124826,360,85,-27.277557906464214,24.705882352941178,-23.18592422049458,-46.35103440927341,29,10.70714977478245,27.586206896551722,3.1050734346869113,-13.84205248589572,31.5,67.49122807017544,FAIL,1366,,,,,
2-bos,k8 cont eqfilt=False tgt2x hold5d,1h,3.848376842308063,7.696753684616126,120,189,-15.661976664959223,37.03703703703704,-29.601135896772934,-46.6179585197565,63,60.41651734940336,49.2063492063492,38.06240593012411,-26.0067542192705,56.5,62.333333333333336,FAIL,952,,,,,
2-bos,k8 cont eqfilt=False tgt2x hold15d,1h,3.848376842308063,7.696753684616126,360,80,-69.30204539944467,27.500000000000004,-55.44163631955574,-58.86424494349279,27,1.0955176916740366,37.03703703703704,0.2957897767519979,-24.066284115939375,46.0,86.0,FAIL,952,,,,,
2-bos,k8 cont eqfilt=False tgt3x hold5d,1h,3.848376842308063,11.545130526924188,120,189,2.1465038175408475,34.39153439153439,4.056892215152197,-45.43960063525958,63,7.686561890109419,47.61904761904761,4.842533990768927,-24.99604119358601,70.5,70.30952380952381,SURVIVOR,952,,,,,
2-bos,k8 cont eqfilt=False tgt3x hold15d,1h,3.848376842308063,11.545130526924188,360,80,-60.91880852233444,23.75,-48.735046817867556,-56.34948738546878,27,-108.11266081365441,22.22222222222222,-29.190418419686694,-35.068800222916714,68.0,108.17757009345794,FAIL,952,,,,,
2-bos,k8 choch eqfilt=False tgt2x hold5d,1h,3.5760385794979297,7.152077158995859,120,198,-14.350463957516466,38.38383838383838,-28.413918635882595,-69.96873758809372,64,9.694238584382589,42.1875,6.204312694004854,-30.484645515033332,53.0,63.16412213740458,FAIL,1025,,,,,
2-bos,k8 choch eqfilt=False tgt2x hold15d,1h,3.5760385794979297,7.152077158995859,360,83,-4.016742077673754,37.34939759036144,-3.3338959244692212,-39.92547009271518,27,-17.979149476264595,33.33333333333333,-4.854370358591442,-21.541986207578603,44.5,87.85454545454546,FAIL,1025,,,,,
