family,config,tf,tr_n,tr_exp,va_n,va_exp,combined_n,combined_exp,stop_pct,target_pct,thickness_x_cost,worst_adverse_pct,verdict
2a-pin-bar,wick2x ctx=roll20 stop1.0xATR tgt2xstop,1h,386,-11.372598365908093,159,-23.68525657897068,545,-14.964731679443783,1.4643208985498533,2.9286417970997065,-1.0445105533746128,-1.4947601948194178,FAIL
2a-pin-bar,wick2x ctx=roll20 stop1.0xATR tgt3xstop,1h,386,-10.98713428161441,159,-30.227860077854736,545,-16.600483642352415,1.4643208985498533,4.39296269564956,-1.2353256306378695,-1.49476019481942,FAIL
2a-pin-bar,wick2x ctx=roll20 stop1.5xATR tgt2xstop,1h,386,-14.351944267975407,159,-38.264726249458086,545,-21.32833387358228,2.19648134782478,4.39296269564956,-1.669420013092453,-2.227140292229137,FAIL
2a-pin-bar,wick2x ctx=roll20 stop1.5xATR tgt3xstop,1h,386,-11.456292999504374,159,-41.550077471467866,545,-20.235947551875377,2.19648134782478,6.58944404347434,-1.4144970642875994,-2.227140292229137,FAIL
2a-pin-bar,wick2x ctx=roll55 stop1.0xATR tgt2xstop,1h,208,-18.709426979690804,102,-27.524820726983148,310,-21.609975890090222,1.4643208985498533,2.9286417970997065,-1.5071213349823502,-1.4947601948194165,FAIL
2a-pin-bar,wick2x ctx=roll55 stop1.0xATR tgt3xstop,1h,208,-21.638552654863062,102,-31.05426682679649,310,-24.736626350144384,1.4643208985498533,4.39296269564956,-1.8799224884547456,-1.4947601948194165,FAIL
2a-pin-bar,wick2x ctx=roll55 stop1.5xATR tgt2xstop,1h,208,-24.208971559741396,102,-47.03301449946372,310,-31.71881794635971,2.19648134782478,4.39296269564956,-2.4469570895402546,-2.2271402922291323,FAIL
2a-pin-bar,wick2x ctx=roll55 stop1.5xATR tgt3xstop,1h,208,-18.663727652374412,102,-52.69608970817162,310,-29.86147258686253,2.19648134782478,6.58944404347434,-2.163343924527488,-2.2271402922291323,FAIL
2a-pin-bar,wick2x ctx=sma50 stop1.0xATR tgt2xstop,1h,35,-18.20397737846667,19,-22.174942515557728,54,-19.601168815591304,1.4643208985498533,2.9286417970997065,-1.1531492147247338,-1.4947601948194087,FAIL
2a-pin-bar,wick2x ctx=sma50 stop1.0xATR tgt3xstop,1h,35,-0.4976693110582086,19,-61.138659760163044,54,-21.834314098706205,1.4643208985498533,4.39296269564956,-1.2675707807907288,-1.494760194819409,FAIL
2a-pin-bar,wick2x ctx=sma50 stop1.5xATR tgt2xstop,1h,35,3.4715504097060017,19,-110.48188791775355,54,-36.62317789069643,2.19648134782478,4.39296269564956,-2.076231643212131,-2.2271402922291323,FAIL
2a-pin-bar,wick2x ctx=sma50 stop1.5xATR tgt3xstop,1h,35,-1.9538970650522969,19,-141.0749698271345,54,-50.90390414800714,2.19648134782478,6.58944404347434,-2.988833680750253,-2.2271402922291323,FAIL
2a-pin-bar,wick2x ctx=none stop1.0xATR tgt2xstop,1h,836,-8.139319520416773,274,-21.12477823665606,1110,-11.344739059380345,1.4643208985498533,2.9286417970997065,-1.1516448610721568,-1.4947601948194216,FAIL
2a-pin-bar,wick2x ctx=none stop1.0xATR tgt3xstop,1h,836,-9.457562642226296,274,-23.792150151527824,1110,-12.996010369747575,1.4643208985498533,4.39296269564956,-1.692530268371512,-1.4947601948194242,FAIL
2a-pin-bar,wick2x ctx=none stop1.5xATR tgt2xstop,1h,836,-11.068018193964884,274,-21.74580805568391,1110,-13.703796952623454,2.19648134782478,4.39296269564956,-2.001660620637575,-2.2271402922291346,FAIL
2a-pin-bar,wick2x ctx=none stop1.5xATR tgt3xstop,1h,836,-10.901916067575318,274,-27.719116604302616,1110,-15.05318899285755,2.19648134782478,6.58944404347434,-2.3940764271050448,-2.2271402922291346,FAIL
2a-pin-bar,wick3x ctx=roll20 stop1.0xATR tgt2xstop,1h,314,-9.551318246494233,129,-21.507764469429798,443,-13.03299220306012,1.4643208985498533,2.9286417970997065,-0.8780712247535742,-1.4947601948194178,FAIL
2a-pin-bar,wick3x ctx=roll20 stop1.0xATR tgt3xstop,1h,314,-10.0341518158917,129,-23.565277926922416,443,-13.974366868539471,1.4643208985498533,4.39296269564956,-1.0072184096186299,-1.49476019481942,FAIL
2a-pin-bar,wick3x ctx=roll20 stop1.5xATR tgt2xstop,1h,314,-12.622342246861649,129,-29.672061335481708,443,-17.587158866346947,2.19648134782478,4.39296269564956,-1.3005260200719753,-2.227140292229137,FAIL
