pair,session,entry_t,exit_t,side,outcome,r,pnl,cost,stop_move_in_price_pct,face_value_times_account,hours_held,moved_to_breakeven
SOL/USD,asia,2025-12-03 02:00:00,2025-12-03 03:00:00,short,stopped out,-1.0,-3676.5032000560786,560.0679734051386,0.742121679274388,4.0424637681158435,1.0,False
SOL/USD,london,2026-02-01 14:00:00,2026-02-01 15:00:00,long,stopped out,-1.0,-3279.5361621039838,273.39603145472586,1.4664753520270368,2.0457213930348352,1.0,False
SOL/USD,asia,2026-02-07 03:00:00,2026-02-07 16:00:00,short,break even,-0.0,-183.43286305434745,183.43286305434745,2.1141620694939074,1.419001903065145,13.0,True
SOL/USD,asia,2026-03-05 09:00:00,2026-03-05 10:00:00,short,stopped out,-1.0,-3264.0207845222544,361.76972462774626,1.0699426802817718,2.8038885215887857,1.0,False
SOL/USD,london,2026-03-30 18:00:00,2026-03-30 19:00:00,long,stopped out,-1.0,-3381.5876813210343,577.2572449621941,0.6479142713152302,4.630242198416413,1.0,False
SOL/USD,asia,2026-04-01 01:00:00,2026-04-01 02:00:00,long,stopped out,-1.0,-4154.711602615276,1451.8287966960672,0.248295907885469,12.082357802625584,1.0,False
SOL/USD,asia,2026-04-30 05:00:00,2026-04-30 06:00:00,long,target,4.0,8913.830788006268,1399.1350433567375,0.245765946223208,12.206735905044223,1.0,False
SOL/USD,asia,2026-05-07 06:00:00,2026-05-07 07:00:00,short,stopped out,-1.0,-3488.2067188071737,642.5503373262346,0.590653870101037,5.079116809116685,1.0,False
SOL/USD,london,2026-05-07 10:00:00,2026-05-07 14:00:00,long,stopped out,-1.0,-3006.480699574398,265.47051965767406,1.3770575838216608,2.1785581338394646,4.0,False
SOL/USD,new_york,2026-05-14 20:00:00,2026-05-15 05:00:00,long,break even,0.0,-523.9239962164742,523.9239962164742,0.6747905727463861,4.44582381729201,9.0,True
SOL/USD,new_york,2026-05-18 19:00:00,2026-05-18 21:00:00,short,stopped out,-1.0,-3069.4504573262493,434.3524182832514,0.809118789974969,3.7077374016895694,2.0,False
SOL/USD,new_york,2026-05-19 16:00:00,2026-05-20 14:00:00,short,stopped out,-1.0,-3095.8660777452324,552.8515524220225,0.6134766822275606,4.890161414296741,22.0,False
SOL/USD,london,2026-05-23 18:00:00,2026-05-23 19:00:00,short,stopped out,-1.0,-2930.6678104085204,480.52926741766726,0.6800307492164728,4.4115652173913915,1.0,False
SOL/USD,asia,2026-06-24 10:00:00,2026-06-24 11:00:00,long,stopped out,-1.0,-4232.724470368205,1870.5059616896076,0.16842971900357775,17.811583476763232,1.0,False
SOL/USD,asia,2026-07-03 03:00:00,2026-07-05 02:00:00,long,break even,0.0,-206.5115729572894,206.5115729572894,1.443566822472445,2.078185750252836,47.0,True
SOL/USD,london,2026-07-13 10:00:00,2026-07-13 12:00:00,long,stopped out,-1.0,-2840.897836393538,611.856409014705,0.4858770425561409,6.174401622717879,2.0,False
SOL/USD,asia,2026-07-14 03:00:00,2026-07-14 12:00:00,long,target,4.0,8147.00189881917,428.2560703289384,0.6676385844442662,4.493449105397588,9.0,False
XRP/USD,london,2025-08-01 13:00:00,2025-08-01 14:00:00,short,stopped out,-1.0,-3638.391558837489,638.3915588374894,0.6067648282644126,4.944254940717619,1.0,False
XRP/USD,asia,2025-08-11 13:00:00,2025-08-11 18:00:00,long,stopped out,-1.0,-3496.539845910373,605.6915926754981,0.616254394825652,4.868119440914894,5.0,False
XRP/USD,london,2025-08-13 14:00:00,2025-08-14 00:00:00,long,target,4.0,10392.836979294956,750.9712521353017,0.4790012052288342,6.2630322580645785,10.0,False
XRP/USD,asia,2025-08-23 07:00:00,2025-08-23 08:00:00,short,target,4.0,10491.731460167559,1899.2172087780928,0.21059895384075197,14.245085007727539,1.0,False
XRP/USD,asia,2025-08-29 02:00:00,2025-08-29 06:00:00,short,target,4.0,12800.55519711595,849.4012470498086,0.5187339346538805,5.7833116354759335,4.0,True
XRP/USD,london,2025-09-14 04:00:00,2025-09-14 11:00:00,long,stopped out,-1.0,-4833.6480232562535,1037.1422563013352,0.47264167695763987,6.347303139475092,7.0,False
XRP/USD,new_york,2025-09-29 17:00:00,2025-09-30 09:00:00,long,stopped out,-1.0,-4171.440297488039,519.9439712308093,0.9067772190838521,3.308420124439167,16.0,False
XRP/USD,new_york,2025-09-30 19:00:00,2025-09-30 21:00:00,short,stopped out,-1.0,-4769.450139260239,1243.0970219276496,0.36627481075802837,8.190571428571118,2.0,False
XRP/USD,london,2025-10-05 10:00:00,2025-10-05 13:00:00,long,stopped out,-1.0,-6025.100376142311,2641.8307629875294,0.16535521442554577,18.142760180996923,3.0,False
XRP/USD,asia,2025-10-20 02:00:00,2025-10-20 03:00:00,short,stopped out,-1.0,-4406.768388182193,1204.2517863116807,0.34336843600270983,8.736970802920057,1.0,False
XRP/USD,london,2025-11-12 14:00:00,2025-11-12 15:00:00,long,stopped out,-1.0,-3441.2708402783783,370.95729005333123,1.0686736438310487,2.8072181037846224,1.0,False
XRP/USD,london,2025-12-06 12:00:00,2025-12-06 14:00:00,short,stopped out,-1.0,-3863.1827495895923,896.1073245728965,0.4275184275184131,7.0172413793105815,2.0,False
XRP/USD,london,2025-12-17 13:00:00,2025-12-17 14:00:00,short,stopped out,-1.0,-3809.3555526866503,958.1756101576427,0.3842074616312444,7.808281461434362,1.0,False
XRP/USD,london,2025-12-21 11:00:00,2025-12-21 13:00:00,long,stopped out,-1.0,-3539.023638622914,802.1243626745058,0.44055829951231446,6.809541446207948,2.0,False
XRP/USD,london,2026-01-08 16:00:00,2026-01-08 17:00:00,short,stopped out,-1.0,-3143.614038444608,512.8854716548873,0.6622804319532284,4.529803169863045,1.0,False
XRP/USD,new_york,2026-01-09 17:00:00,2026-01-09 18:00:00,long,stopped out,-1.0,-2746.1067022184693,209.68655658208675,1.5618412388617633,1.9208098271155498,1.0,False
XRP/USD,new_york,2026-02-08 18:00:00,2026-02-09 08:00:00,short,target,4.0,9421.267846506893,394.8799317724227,0.8024210504546428,3.738685567010279,14.0,False
XRP/USD,london,2026-02-12 15:00:00,2026-02-12 16:00:00,long,stopped out,-1.0,-3429.5403668117897,692.8653868467546,0.5099887962518502,5.882482168330802,1.0,False
XRP/USD,london,2026-02-28 13:00:00,2026-02-28 19:00:00,short,stopped out,-1.0,-2919.4157247803014,285.62695581962004,1.1906058987101678,2.5197254635224158,6.0,False
XRP/USD,asia,2026-03-01 16:00:00,2026-03-01 20:00:00,long,stopped out,-1.0,-2910.502529956725,364.2962327394524,0.9024542352984481,3.3242682926828726,4.0,False
XRP/USD,london,2026-03-10 12:00:00,2026-03-10 14:00:00,long,target,4.0,9377.913929434428,457.65095583985794,0.6937311926770813,4.324441558441561,2.0,False
XRP/USD,london,2026-04-20 08:00:00,2026-04-22 05:00:00,long,target,4.0,10509.663820171581,451.2507366348333,0.7840705769809833,3.826186172616399,45.0,True
XRP/USD,asia,2026-04-30 04:00:00,2026-05-01 13:00:00,long,target,4.0,11490.31860905628,731.7556061707255,0.5391444594870135,5.564371379897788,33.0,False
XRP/USD,asia,2026-05-03 07:00:00,2026-05-03 11:00:00,short,stopped out,-1.0,-4787.762904718381,1387.5347926399413,0.3164101826549662,9.481363636363724,4.0,False
XRP/USD,asia,2026-05-09 16:00:00,2026-05-09 17:00:00,long,target,4.0,11084.437268912268,1941.9436308352836,0.21652768967436006,13.855040916530143,1.0,False
XRP/USD,london,2026-05-10 11:00:00,2026-05-10 13:00:00,long,target,4.0,11671.795302005072,2684.718070011951,0.17261422482122543,17.3797959183669,2.0,False
XRP/USD,new_york,2026-05-14 12:00:00,2026-05-14 13:00:00,short,stopped out,-1.0,-5174.658700342544,1235.376498278136,0.41172196657787236,7.286470588235145,1.0,False
XRP/USD,asia,2026-05-17 05:00:00,2026-05-17 23:00:00,short,target,4.0,14252.137740826252,884.0320233902762,0.552680677297843,5.428089171974583,18.0,False
XRP/USD,asia,2026-05-21 11:00:00,2026-05-21 12:00:00,long,stopped out,-1.0,-6796.69495258956,2585.0883793106404,0.21035782857856974,14.261413612564862,1.0,False
XRP/USD,asia,2026-07-10 18:00:00,2026-07-11 12:00:00,long,target,4.0,15070.352749287948,960.4701495169809,0.5387635832344093,5.568305084745746,18.0,False
DOT/USD,london,2025-08-18 12:00:00,2025-08-19 17:00:00,short,target,4.0,11361.544719772039,638.4552802279621,1.1358440575081787,2.641207637764481,29.0,True
