tool,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,hold_hours,stop_pct,leverage,notional,gross_pnl,fees,funding_cost,net_pnl,overlap_tag
SP-1H,1,2023-09-29 13:30:00+00:00,430.3399963378906,2023-10-03 14:30:00+00:00,422.2900085449219,structure_floor,97.0,1.8706111124860751,20,5000.0,-93.53055562430374,0.9906469444375696,0.0,-94.52120256874132,transfer-assumption
SP-1H,1,2023-10-06 14:30:00+00:00,425.7900085449219,2023-10-12 17:30:00+00:00,433.17999267578125,structure_floor,147.0,1.0850192516825377,20,5000.0,86.77967991914157,1.0086779679919142,0.0,85.77100195114966,transfer-assumption
SP-1H,1,2023-10-17 15:30:00+00:00,438.0716857910156,2023-10-18 14:30:00+00:00,432.45001220703125,structure_floor,23.0,1.8699407366197616,20,5000.0,-64.16385452798042,0.9935836145472018,0.0,-65.15743814252762,transfer-assumption
SP-DIP,1,2023-10-20 04:00:00+00:00,407.2051696777344,2023-10-31 04:00:00+00:00,404.3144226074219,signal_exit,264.0,,10,2500.0,-17.747485085959624,0.498225251491404,0.0,-18.24571033745103,val-overlap
SP-1H,1,2023-10-31 16:30:00+00:00,416.9700012207031,2023-11-09 18:30:00+00:00,434.8699951171875,structure_floor,218.0,1.932992190085055,20,5000.0,214.6436655404602,1.0214643665540462,0.0,213.62220117390615,transfer-assumption
SP-1H,1,2023-11-10 17:30:00+00:00,438.989990234375,2023-11-30 16:30:00+00:00,453.5,structure_floor,479.0,0.9385168702793999,20,5000.0,165.26583849757216,1.0165265838497572,0.0,164.2493119137224,transfer-assumption
SP-1H,1,2023-12-01 16:30:00+00:00,458.9150085449219,2023-12-06 19:30:00+00:00,454.8699951171875,structure_floor,123.0,1.2148245542694052,20,5000.0,-44.07148766565586,0.9955928512334343,0.0,-45.06708051688929,transfer-assumption
SP-1H,1,2023-12-08 14:30:00+00:00,459.8599853515625,2023-12-20 20:30:00+00:00,468.44000244140625,structure_floor,294.0,1.2068864371240715,20,5000.0,93.28945073666645,1.0093289450736664,0.0,92.28012179159279,transfer-assumption
SP-1H,1,2023-12-26 18:30:00+00:00,475.5249938964844,2023-12-29 15:30:00+00:00,474.8900146484375,structure_floor,69.0,0.804370272550968,20,5000.0,-6.6766127563959525,0.9993323387243603,0.0,-7.675945095120313,transfer-assumption
SP-DIP,1,2024-01-03 05:00:00+00:00,455.0622253417969,2024-01-08 05:00:00+00:00,460.7021179199219,signal_exit,120.0,,10,2500.0,30.98418339321002,0.503098418339321,0.0,30.4810849748707,val-overlap
SP-1H,1,2024-01-08 17:30:00+00:00,471.37969970703125,2024-01-17 14:30:00+00:00,472.260009765625,structure_floor,213.0,0.7551645488816969,20,5000.0,9.337589836185929,1.0009337589836187,0.0,8.33665607720231,transfer-assumption
SP-1H,1,2024-01-19 14:30:00+00:00,477.95001220703125,2024-01-31 19:30:00+00:00,485.010009765625,structure_floor,293.0,1.6905569376455563,20,5000.0,73.85707059607319,1.0073857070596073,0.0,72.84968488901357,transfer-assumption
SP-1H,1,2024-02-02 15:30:00+00:00,492.9200134277344,2024-02-13 14:30:00+00:00,497.260009765625,structure_floor,263.0,2.032788131602006,20,5000.0,44.02333258605759,1.0044023332586056,0.0,43.01893025279899,transfer-assumption
SP-1H,1,2024-02-15 18:30:00+00:00,501.510009765625,2024-02-20 14:30:00+00:00,498.75,structure_floor,116.0,2.152502087202467,20,5000.0,-27.51699579151829,0.9972483004208481,0.0,-28.51424409193914,transfer-assumption
SP-1H,1,2024-02-22 14:30:00+00:00,505.3399963378906,2024-03-15 16:30:00+00:00,508.5,structure_floor,530.0,2.1549816380609412,20,5000.0,31.266114744621063,1.0031266114744621,0.0,30.2629881331466,transfer-assumption
SP-1H,1,2024-03-19 19:30:00+00:00,515.760009765625,2024-03-26 19:30:00+00:00,519.6699829101562,structure_floor,168.0,0.8996460680513104,20,5000.0,37.90496617126293,1.0037904966171263,0.0,36.9011756746458,transfer-assumption
SP-1H,1,2024-03-27 19:30:00+00:00,523.1699829101562,2024-04-02 13:30:00+00:00,518.4000244140625,structure_floor,138.0,0.9117416235466423,20,5000.0,-45.58708117733212,0.9954412918822669,0.0,-46.58252246921438,transfer-assumption
SP-DIP,1,2024-04-17 04:00:00+00:00,487.4018249511719,2024-04-22 04:00:00+00:00,486.59368896484375,signal_exit,120.0,,10,2500.0,-4.145121873564406,0.4995854878126436,0.0,-4.6447073613770495,val-overlap
SP-1H,1,2024-04-23 13:30:00+00:00,504.3299865722656,2024-05-22 17:30:00+00:00,529.0700073242188,structure_floor,700.0,2.076021949807832,20,5000.0,245.27612288237515,1.0245276122882376,0.0,244.2515952700869,transfer-assumption
SP-1H,1,2024-05-31 19:30:00+00:00,527.3499755859375,2024-06-03 15:30:00+00:00,525.3699951171875,structure_floor,68.0,0.37545853046642275,20,5000.0,-18.772926523321136,0.998122707347668,0.0,-19.771049230668805,transfer-assumption
SP-1H,1,2024-06-05 13:30:00+00:00,530.2650146484375,2024-06-11 13:30:00+00:00,532.5700073242188,structure_floor,144.0,2.245109326091966,20,5000.0,21.734346148684224,1.0021734346148685,0.0,20.732172714069357,transfer-assumption
