family,config,tf,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,oscillator,k,flavor,buffer_pct,stop_pct,target_pct,max_hold_h,filter_name,exit_n,setup,trigger,level,cost_bps_per_trade,clears_9bps_floor
1-divergence,MACDhist k8 hidden buf0.15% tgt3x hold96h,4h,90,-37.693947944841256,35.55555555555556,-33.92455315035713,-46.99280839360829,34,-101.57521103411746,26.47058823529412,-34.53557175159994,-38.03061823595464,36.0,46.70967741935484,FAIL,MACDhist,8.0,hidden,0.15,3.1043914209901695,9.31317426297051,96.0,,,,,,,
1-divergence,MACDhist k8 hidden buf0.35% tgt2x hold48h,4h,93,-51.2401885980828,34.40860215053764,-47.653375396217,-55.0863138421257,35,-81.48701789314192,34.285714285714285,-28.52045626259967,-29.880860435737937,36.0,30.90625,FAIL,MACDhist,8.0,hidden,0.35,3.2439716053716503,6.487943210743301,48.0,,,,,,,
1-divergence,MACDhist k8 hidden buf0.35% tgt2x hold96h,4h,90,-50.485015890583455,36.666666666666664,-45.43651430152511,-52.90489148407128,34,-98.89344723566674,26.47058823529412,-33.62377206012669,-37.703501985137684,34.0,46.225806451612904,FAIL,MACDhist,8.0,hidden,0.35,3.2439716053716503,6.487943210743301,96.0,,,,,,,
1-divergence,MACDhist k8 hidden buf0.35% tgt3x hold48h,4h,93,-35.72348791905552,34.40860215053764,-33.22284376472163,-49.993303013622864,35,-81.48701789314192,34.285714285714285,-28.52045626259967,-29.880860435737937,40.0,32.0,FAIL,MACDhist,8.0,hidden,0.35,3.2439716053716503,9.731914816114951,48.0,,,,,,,
1-divergence,MACDhist k8 hidden buf0.35% tgt3x hold96h,4h,90,-42.125310416164254,35.55555555555556,-37.912779374547824,-54.46233584970762,34,-102.7766142535758,26.47058823529412,-34.94404884621577,-39.44377875782272,38.0,48.806451612903224,FAIL,MACDhist,8.0,hidden,0.35,3.2439716053716503,9.731914816114951,96.0,,,,,,,
2-oscillator-overlay,donchian20/10 + baseline (no filter),1h,450,13.545456379861708,33.55555555555556,60.95455370937768,-54.28930001591781,159,2.573578203278736,38.36477987421384,4.091989343213198,-28.928468291374887,23.0,28.917898193760262,SURVIVOR,,,,,,,,baseline (no filter),10.0,,,,,
2-oscillator-overlay,donchian20/10 + ADX>=20,1h,362,18.461082147409382,33.42541436464088,66.82911737362195,-47.51124484386582,120,6.9116097859998264,40.0,8.293931743199789,-27.1176252159983,23.0,29.54979253112033,SURVIVOR,,,,,,,,ADX>=20,10.0,,,,,
2-oscillator-overlay,donchian20/10 + ADX>=25,1h,264,31.055460253745245,35.60606060606061,81.98641506988744,-58.213115836304496,99,-17.59351111892478,33.33333333333333,-17.417576007735537,-32.53085110650304,23.0,29.754820936639117,FAIL,,,,,,,,ADX>=25,10.0,,,,,
2-oscillator-overlay,donchian20/10 + Stoch<70 (not-OB),1h,20,63.15327428601695,35.0,12.630654857203382,-22.41802757858054,6,-28.054426854223795,33.33333333333333,-1.683265611253426,-13.704196959297029,24.5,27.96153846153846,FAIL,,,,,,,,Stoch<70 (not-OB),10.0,,,,,
2-oscillator-overlay,donchian20/10 + Stoch<80 (not-OB),1h,106,-39.09915042487626,22.641509433962266,-41.445099450368836,-58.34154494096752,32,-20.995099551601527,31.25,-6.718431856512486,-25.4017032561428,19.0,26.27536231884058,FAIL,,,,,,,,Stoch<80 (not-OB),10.0,,,,,
