asset,symbol,split,entry_time,exit_time,direction,entry_price,exit_price,units,fees,funding,pnl,is_win
DOT,DOTUSDT,train,2024-02-08 16:00:00+00:00,2024-02-08 17:00:00+00:00,1,7.042,6.948,559.5688255148756,1.565673573790622,0.048598552495966944,-54.21374172468495,False
DOT,DOTUSDT,train,2024-02-10 11:00:00+00:00,2024-02-10 19:00:00+00:00,-1,7.07,7.174,549.6845724966151,1.5659414101283573,-0.39193884230439907,-58.34119810747143,False
DOT,DOTUSDT,train,2024-02-12 16:00:00+00:00,2024-02-13 11:00:00+00:00,1,7.246,7.345,528.2816353082525,1.5416314681565424,0.9224061493299741,49.83584427802998,True
DOT,DOTUSDT,train,2024-02-15 11:00:00+00:00,2024-02-15 18:00:00+00:00,1,7.839,7.723,494.6759246997866,1.539629348035616,0.3705050001924614,-59.2925416134035,False
DOT,DOTUSDT,train,2024-02-17 14:00:00+00:00,2024-02-17 20:00:00+00:00,-1,7.466,7.566,511.448169315326,1.5376177762295962,-0.34337909457360427,-52.33905561318852,False
DOT,DOTUSDT,train,2024-02-19 23:00:00+00:00,2024-02-20 04:00:00+00:00,1,8.1,7.824,464.9546884561772,1.4807876917952334,0.49470269865321326,-130.30298440435354,False
DOT,DOTUSDT,train,2024-02-26 00:00:00+00:00,2024-02-26 08:00:00+00:00,1,7.927,7.757,458.66405854556353,1.4387374188457236,0.5856833703102046,-79.9973107419014,False
DOT,DOTUSDT,train,2024-02-26 10:00:00+00:00,2024-02-26 16:00:00+00:00,-1,7.629,7.867,466.0942038732181,1.4445191566438775,-0.6521830395460875,-111.72275663892424,False
DOT,DOTUSDT,train,2024-02-27 21:00:00+00:00,2024-02-28 18:00:00+00:00,1,8.36,8.306,411.9748713767771,1.3731946412730736,1.8453653239747865,-25.4652030195939,False
DOT,DOTUSDT,train,2024-02-29 23:00:00+00:00,2024-03-01 12:00:00+00:00,-1,8.147,8.434,419.6200713993203,1.391544080774426,-2.698783175255215,-119.12372139712352,False
