family,config,tf,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict
1-momentum-burst,X0.8% raw tgt3xATR hold24h,15m,0.36130660519972224,1.0839198155991667,24,1037,-5.0996306125975055,26.51880424300868,-52.88316945263614,-57.60994574961267,343,-7.371125019934821,25.65597667638484,-25.282958818376432,-26.915726605959367,0.25,1.0905797101449275,FAIL
1-momentum-burst,X1.2% champ tgt2xATR hold8h,15m,0.36130660519972224,0.7226132103994445,8,1066,-5.4773211090277405,33.95872420262664,-58.388243022235706,-58.95749804783552,288,-7.607668650515219,33.68055555555556,-21.91008571348383,-24.083940067071143,0.0,0.32736336779911374,FAIL
1-momentum-burst,X1.2% champ tgt2xATR hold24h,15m,0.36130660519972224,0.7226132103994445,24,626,-4.805112318680807,36.102236421725244,-30.080003114941857,-31.847508863269198,192,-7.10706357639351,34.375,-13.645562066675543,-15.030877812616177,0.0,0.38844743276283616,FAIL
1-momentum-burst,X1.2% champ tgt3xATR hold8h,15m,0.36130660519972224,1.0839198155991667,8,1066,-4.912989894708088,27.204502814258912,-52.37247227758821,-53.258644338962505,288,-8.053418016909639,25.694444444444443,-23.19384388869976,-26.452106703405093,0.25,0.5644387001477105,FAIL
1-momentum-burst,X1.2% champ tgt3xATR hold24h,15m,0.36130660519972224,1.0839198155991667,24,626,-3.467401791337511,28.753993610223645,-21.70593521377282,-26.56317679158265,192,-8.684569571817084,25.0,-16.6743735778888,-19.070058970979296,0.25,0.7047677261613692,FAIL
1-momentum-burst,X1.2% raw tgt2xATR hold8h,15m,0.36130660519972224,0.7226132103994445,8,1562,-4.4074305294798375,34.571062740076826,-68.84406487047505,-69.2437302007161,428,-6.2941678847957085,34.81308411214953,-26.93903854692563,-31.03937889257205,0.0,0.3611809045226131,FAIL
1-momentum-burst,X1.2% raw tgt2xATR hold24h,15m,0.36130660519972224,0.7226132103994445,24,814,-4.793986148785938,35.749385749385745,-39.02304725111754,-40.74318995523163,259,-5.8079416526941,35.521235521235525,-15.042568880477724,-17.185374428507227,0.0,0.4273066169617894,FAIL
1-momentum-burst,X1.2% raw tgt3xATR hold8h,15m,0.36130660519972224,1.0839198155991667,8,1562,-3.7454820859198663,28.040973111395644,-58.504430182068305,-60.196470488855105,428,-5.868457141440764,27.33644859813084,-25.116996565366467,-31.314006353302997,0.25,0.6100502512562814,FAIL
1-momentum-burst,X1.2% raw tgt3xATR hold24h,15m,0.36130660519972224,1.0839198155991667,24,814,-2.736187728311182,29.238329238329236,-22.27256810845303,-29.206821116529724,259,-3.8606007009260455,28.57142857142857,-9.998955815398459,-13.336210625965025,0.25,0.7709692451071761,FAIL
1-momentum-burst,X1.8% champ tgt2xATR hold8h,15m,0.36130660519972224,0.7226132103994445,8,549,-9.11429116646449,30.05464480874317,-50.03745850389005,-50.14110898625111,144,-11.71816899984948,29.86111111111111,-16.874163359783257,-17.43786273651407,0.0,0.19083694083694083,FAIL
1-momentum-burst,X1.8% champ tgt2xATR hold24h,15m,0.36130660519972224,0.7226132103994445,24,365,-6.553013533738442,34.52054794520548,-23.91849939814531,-23.91849939814531,108,-9.385059481499479,32.407407407407405,-10.135864240019432,-11.465797170007228,0.0,0.22251585623678646,FAIL
1-momentum-burst,X1.8% champ tgt3xATR hold8h,15m,0.36130660519972224,1.0839198155991667,8,549,-8.607323943050112,23.67941712204007,-47.254208447345114,-47.551884067526224,144,-14.11715432333241,20.833333333333336,-20.328702225598672,-20.328702225598672,0.0,0.3448773448773449,FAIL
1-momentum-burst,X1.8% champ tgt3xATR hold24h,15m,0.36130660519972224,1.0839198155991667,24,365,-5.31142772679979,27.397260273972602,-19.386711202819228,-19.386711202819235,108,-12.71648204915792,22.22222222222222,-13.733800613090551,-14.986883745174437,0.0,0.4048625792811839,FAIL
1-momentum-burst,X1.8% raw tgt2xATR hold8h,15m,0.36130660519972224,0.7226132103994445,8,861,-6.996137442784054,31.70731707317073,-60.236743382370705,-60.236743382370705,217,-9.237886390980798,32.25806451612903,-20.04621346842833,-22.58744304586253,0.0,0.2066326530612245,FAIL
1-momentum-burst,X1.8% raw tgt2xATR hold24h,15m,0.36130660519972224,0.7226132103994445,24,526,-4.699882953069592,36.31178707224335,-24.721384333146055,-24.72138433314605,150,-8.263526393348984,33.33333333333333,-12.395289590023474,-14.559298590594668,0.0,0.2488905325443787,FAIL
1-momentum-burst,X1.8% raw tgt3xATR hold8h,15m,0.36130660519972224,1.0839198155991667,8,861,-5.376313439161783,26.59698025551684,-46.29005871118296,-46.703924703490074,217,-7.122099975266092,26.72811059907834,-15.454956946327425,-20.0991654831242,0.0,0.4005102040816326,FAIL
1-momentum-burst,X1.8% raw tgt3xATR hold24h,15m,0.36130660519972224,1.0839198155991667,24,526,-0.7070030173889698,30.798479087452474,-3.7188358714659753,-15.196843737634152,150,-6.6002334579029895,26.666666666666668,-9.900350186854489,-14.365051648518659,0.0,0.5055473372781065,FAIL
2-session-breakout,H4h long tgt1.5xrange,15m,1.4903056132188275,2.235458419828241,20,882,4.25925759060677,44.5578231292517,37.56665194915172,-46.55561496059995,308,-5.50877430462421,44.15584415584416,-16.967024858242564,-28.82167108617527,7.75,9.871848739495798,FAIL
2-session-breakout,H4h long tgt2.5xrange,15m,1.4903056132188275,3.725764033047069,20,882,7.604907606060616,40.136054421768705,67.07528508545464,-57.91000861852058,308,-0.43220918948392933,41.883116883116884,-1.3312043036105004,-27.157886038221758,12.0,11.928991596638655,FAIL
2-session-breakout,H4h short tgt1.5xrange,15m,1.4903056132188275,2.235458419828241,20,846,-5.238705227755943,40.8983451536643,-44.31944622681529,-49.20855653156089,293,-4.498880029259056,44.36860068259386,-13.181718485729032,-31.232742852024437,8.75,10.201273046532046,FAIL
2-session-breakout,H4h short tgt2.5xrange,15m,1.4903056132188275,3.725764033047069,20,846,-5.352061176520389,36.17021276595745,-45.278437553362494,-52.85264218760592,293,0.5568093272440168,41.29692832764505,1.6314513288249621,-35.24335022398801,12.0,11.970368744512731,FAIL
2-session-breakout,H8h long tgt1.5xrange,15m,1.7,2.9670329670329667,16,775,11.061982049843238,44.903225806451616,85.7303608862851,-60.54822752786797,276,-3.307419920232827,43.11594202898551,-9.128478979842603,-35.872785107842645,10.75,9.887012369172217,FAIL
2-session-breakout,H8h long tgt2.5xrange,15m,1.7,4.945054945054944,16,775,15.582763423133658,43.096774193548384,120.76641652928583,-64.86136001624213,276,-8.271399448271136,41.66666666666667,-22.829062477228334,-38.24323715430089,16.0,11.220742150333017,FAIL
2-session-breakout,H8h short tgt1.5xrange,15m,1.7,2.9670329670329667,16,729,-6.145952226878164,39.36899862825789,-44.803991733941814,-56.93620299767825,265,-10.234851533104285,42.26415094339623,-27.122356562726356,-44.735934602072966,11.0,9.95145875251509,FAIL
2-session-breakout,H8h short tgt2.5xrange,15m,1.7,4.945054945054944,16,729,-6.29844865769755,37.31138545953361,-45.915690714615145,-52.32772990478064,265,-11.883240002092728,40.75471698113208,-31.49058600554573,-45.9950997990662,16.0,11.084507042253522,FAIL
2-session-breakout,H4h long tgt1.5xrange,1h,1.4903056132188275,2.235458419828241,20,813,-1.4102480067180148,43.542435424354245,-11.465316294617455,-68.2508474431737,286,-7.576635689103784,42.30769230769231,-21.669178070836825,-33.19410920160012,8.0,9.848953594176525,FAIL
2-session-breakout,H4h long tgt2.5xrange,1h,1.4903056132188275,3.725764033047069,20,813,2.510880757848841,39.48339483394834,20.41346056131108,-76.62502395363691,286,1.0815146708617096,39.86013986013986,3.0931319586644968,-23.201237278802665,13.0,11.851683348498636,SURVIVOR
2-session-breakout,H4h short tgt1.5xrange,1h,1.4903056132188275,2.235458419828241,20,779,-7.533137257349287,39.66623876765084,-58.683139234750946,-63.20985250856751,263,-4.716780125782312,44.866920152091254,-12.405131730807483,-30.238868044904905,8.0,9.99616122840691,FAIL
2-session-breakout,H4h short tgt2.5xrange,1h,1.4903056132188275,3.725764033047069,20,779,-7.102116629019648,35.17329910141206,-55.32548854006305,-60.50686252878403,263,-0.13004216313832678,41.825095057034225,-0.34201088905380095,-29.838195355431036,12.0,11.738963531669866,FAIL
2-session-breakout,H8h long tgt1.5xrange,1h,1.7,2.9670329670329667,16,715,3.4411965712093586,42.37762237762237,24.604555484146907,-63.87525942858381,252,-8.087634894233881,43.25396825396825,-20.380839933469375,-40.19519370795945,11.0,9.953464322647363,FAIL
2-session-breakout,H8h long tgt2.5xrange,1h,1.7,4.945054945054944,16,715,3.9111389443024827,40.6993006993007,27.96464345176275,-69.53584572590799,252,-13.794577045338537,41.66666666666667,-34.76233415425312,-47.540755472434086,16.0,11.231644260599793,FAIL
2-session-breakout,H8h short tgt1.5xrange,1h,1.7,2.9670329670329667,16,660,-6.410638109310369,39.54545454545455,-42.31021152144844,-47.99175416754075,232,-5.6204817591897935,44.827586206896555,-13.039517681320323,-30.98656695658695,12.0,10.052690582959642,FAIL
2-session-breakout,H8h short tgt2.5xrange,1h,1.7,4.945054945054944,16,660,-6.558747999822174,37.57575757575757,-43.28773679882635,-50.95720323763007,232,-7.140784535947463,43.53448275862069,-16.566620123398113,-36.58697738171558,16.0,11.133408071748878,FAIL
3-washout-scalp,RSI3<5 stop1.0% tgt2.0% hold12h,1h,1.0,2.0,12,111,-29.941887978479677,31.53153153153153,-33.23549565611245,-33.23549565611245,33,-40.10756388116241,27.27272727272727,-13.235496080783593,-16.305682844688114,2.5,4.729166666666667,FAIL
3-washout-scalp,RSI3<5 stop1.0% tgt2.0% hold24h,1h,1.0,2.0,24,102,-27.860581438511534,29.411764705882355,-28.41779306728176,-30.550454159392366,32,-50.507581318092775,18.75,-16.16242602178969,-18.17824019879546,3.0,6.007462686567164,FAIL
