family,config,symbol,market,tf,tr_n,tr_exp,tr_win%,tr_dd%,tr_ret%,va_n,va_exp,va_win%,va_dd%,va_ret%,tr_per_yr,cadence,verdict,vol_gate,direction,trend_gate
2-meanrev,zscore>2 short trend=with-trend vol=low-vol,USO,USO (ETF),1d,6,-58.84956860353456,33.33333333333333,-7.305799488124778,-3.530974116212071,0,0.0,0.0,0.0,0.0,0.36999831166638525,TOO-RARE(0.4/yr),INSUFFICIENT-SAMPLE,low-vol,short,with-trend
2-meanrev,rsi2>5 long trend=none vol=none,USO,USO (ETF),1d,87,-91.31026979417375,42.5287356321839,-80.14147742149453,-79.43993472093116,20,-221.32114277487472,50.0,-56.76747291469769,-44.264228554974935,6.5983032247172035,TOO-RARE(6.6/yr),FAIL,none,long,none
2-meanrev,rsi2>5 long trend=none vol=high-vol,USO,USO (ETF),1d,45,-124.35404468747649,46.666666666666664,-62.232289672824045,-55.95932010936442,15,-271.56539380987283,46.666666666666664,-53.54476910615094,-40.734809071480925,3.699983116663853,TOO-RARE(3.7/yr),FAIL,high-vol,long,none
2-meanrev,rsi2>5 long trend=none vol=low-vol,USO,USO (ETF),1d,51,-118.84482243738225,43.13725490196079,-61.95488066401475,-60.610859443064946,8,51.68603959002962,62.5,-15.395126947453505,4.134883167202363,3.638316731386122,TOO-RARE(3.6/yr),FAIL,low-vol,long,none
2-meanrev,rsi2>5 long trend=with-trend vol=none,USO,USO (ETF),1d,29,-109.5156688300268,44.827586206896555,-34.99216264561102,-31.75954396070777,7,88.86288695648884,57.14285714285714,-9.752253825876839,6.220402086954224,2.2199898699983116,TOO-RARE(2.2/yr),INSUFFICIENT-SAMPLE,none,long,with-trend
2-meanrev,rsi2>5 long trend=with-trend vol=high-vol,USO,USO (ETF),1d,10,-140.48059922894882,50.0,-19.058379714695356,-14.048059922894884,1,-92.15297518692387,0.0,-5.746877694732798,-0.9215297518692434,0.6783302380550397,TOO-RARE(0.7/yr),INSUFFICIENT-SAMPLE,high-vol,long,with-trend
2-meanrev,rsi2>5 long trend=with-trend vol=low-vol,USO,USO (ETF),1d,21,-94.72612294987319,47.61904761904761,-23.29379559638267,-19.89248581947337,6,120.13931686230323,66.66666666666666,-9.752253825876839,7.208359011738197,1.6649924024987337,TOO-RARE(1.7/yr),INSUFFICIENT-SAMPLE,low-vol,long,with-trend
2-meanrev,rsi2>5 short trend=none vol=none,USO,USO (ETF),1d,95,43.58671434867051,61.05263157894737,-19.050134230200104,41.40737863123698,35,-64.2735737683449,51.42857142857142,-33.36524193511103,-22.495750818920712,8.016630086105014,TOO-RARE(8.0/yr),FAIL,none,short,none
2-meanrev,rsi2>5 short trend=none vol=high-vol,USO,USO (ETF),1d,26,181.50197117854512,65.38461538461539,-11.630069675308976,47.190512506421726,17,-37.49966940231292,58.82352941176471,-17.88994077921833,-6.374943798393195,2.651654566942428,TOO-RARE(2.7/yr),INSUFFICIENT-SAMPLE,high-vol,short,none
2-meanrev,rsi2>5 short trend=none vol=low-vol,USO,USO (ETF),1d,71,-2.846816779187168,61.97183098591549,-25.246023376556447,-2.021239913222894,21,-79.02211316537709,42.857142857142854,-26.152538125887485,-16.594643764729188,5.673307445551241,TOO-RARE(5.7/yr),FAIL,low-vol,short,none
