section,asset,tf,fade_type,break_direction,trade_direction,age_cutoff,touch_cutoff,bucket,split,n_trades,expectancy,trades_per_year,win_rate_pct,random_pctl
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,100,1,STRUCTURAL,train,36,-134.93074819209332,9.49,47.22222222222222,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,100,1,LOCAL,train,193,-31.935132518569247,50.86,55.95854922279793,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,100,2,STRUCTURAL,train,32,-140.96095025912246,8.43,50.0,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,100,2,LOCAL,train,193,-31.935132518569247,50.86,55.95854922279793,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,100,3,STRUCTURAL,train,26,-162.95151202204337,6.85,42.30769230769231,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,100,3,LOCAL,train,193,-31.935132518569247,50.86,55.95854922279793,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,200,1,STRUCTURAL,train,22,-206.28632531956262,5.8,45.45454545454545,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,200,1,LOCAL,train,193,-31.935132518569247,50.86,55.95854922279793,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,200,2,STRUCTURAL,train,16,-228.9797475653374,4.22,43.75,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,200,2,LOCAL,train,193,-31.935132518569247,50.86,55.95854922279793,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,200,3,STRUCTURAL,train,14,-281.1205065872026,3.69,35.714285714285715,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,200,3,LOCAL,train,193,-31.935132518569247,50.86,55.95854922279793,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,500,1,STRUCTURAL,train,13,-52.7487345032805,3.43,61.53846153846154,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,500,1,LOCAL,train,193,-33.18059281024799,50.86,55.44041450777202,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,500,2,STRUCTURAL,train,10,-136.9897217877633,2.64,60.0,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,500,2,LOCAL,train,193,-33.18059281024799,50.86,55.44041450777202,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,500,3,STRUCTURAL,train,9,-165.35482400676543,2.37,55.55555555555556,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,500,3,LOCAL,train,193,-33.18059281024799,50.86,55.44041450777202,
fade_selected,BTC,4h,fade_breakout_mirror,long,short,50,3,STRUCTURAL,train,40,-45.68400870686887,10.54,52.5,66.5
fade_selected,BTC,4h,fade_breakout_mirror,long,short,50,3,STRUCTURAL,val,21,-122.41701323487251,16.6,47.61904761904761,29.5
fade_selected,BTC,4h,fade_breakout_mirror,long,short,50,3,LOCAL,train,192,-32.05513600463233,50.6,55.729166666666664,
fade_selected,BTC,4h,fade_breakout_mirror,long,short,50,3,LOCAL,val,62,-84.89147682505764,49.02,45.16129032258064,
fade_regime_split,BTC,4h,fade_breakout_mirror,long,short,50,3,STRUCTURAL/BULL(close>50d-SMA),train+val,49,-95.60879732540326,9.68,48.97959183673469,
fade_regime_split,BTC,4h,fade_breakout_mirror,long,short,50,3,STRUCTURAL/BEAR(close<=50d-SMA),train+val,12,63.040286184243314,2.37,58.333333333333336,
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,20,1,STRUCTURAL,train,380,-8.259056781634841,100.05,53.421052631578945,19.5
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,20,2,STRUCTURAL,train,340,-9.11798908731735,89.52,51.76470588235295,19.5
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,20,3,STRUCTURAL,train,301,-5.435385814554166,79.25,52.823920265780735,30.0
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,50,1,STRUCTURAL,train,228,22.866214790868334,60.03,55.70175438596491,77.0
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,50,2,STRUCTURAL,train,206,10.952178526014162,54.24,55.8252427184466,50.5
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,50,3,STRUCTURAL,train,190,19.842730939776178,50.03,56.315789473684205,69.5
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,100,1,STRUCTURAL,train,142,27.733527112607526,37.39,57.74647887323944,69.0
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,100,2,STRUCTURAL,train,133,16.221179568312763,35.02,57.89473684210527,62.0
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,100,3,STRUCTURAL,train,123,36.03098999251088,32.38,58.536585365853654,76.5
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,200,1,STRUCTURAL,train,95,69.14637045541684,25.01,54.736842105263165,91.5
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,200,2,STRUCTURAL,train,91,52.38527920960353,23.96,56.043956043956044,85.5
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,200,3,STRUCTURAL,train,87,79.03193713707076,22.91,56.32183908045977,92.5
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,500,1,STRUCTURAL,train,47,86.96183224353186,12.37,55.319148936170215,93.0
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,500,2,STRUCTURAL,train,44,49.10076995920884,11.58,54.54545454545454,78.0
fade_sweep_random_baseline,BTC,1h,fade_breakdown,short,long,500,3,STRUCTURAL,train,42,80.04500706433365,11.06,54.761904761904766,89.5
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,20,1,STRUCTURAL,train,423,-20.120549048184085,111.37,50.11820330969267,33.0
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,20,2,STRUCTURAL,train,368,-18.0913694842366,96.89,52.44565217391305,43.0
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,20,3,STRUCTURAL,train,319,-22.022203899720143,83.99,52.35109717868338,33.5
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,50,1,STRUCTURAL,train,259,-29.34674915226523,68.19,49.42084942084942,17.0
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,50,2,STRUCTURAL,train,228,-27.065409244829773,60.03,50.877192982456144,24.0
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,50,3,STRUCTURAL,train,192,-32.294881055605074,50.55,51.5625,14.499999999999998
