pair,session,entry_t,stop_move_in_price_pct,face_value_times_account,exchange_leverage_wanted,exchange_leverage_set,capped_by_the_exchange,margin_posted_dollars,margin_share_of_account_pct,position_dollars,contracts,below_min_lot,liquidation_move_pct,guard_needs_pct
ETH/USD,new_york,2026-05-14 05:00:00,0.7720770512824806,3.88562254896291,38.856225489629104,39,False,225.07119905151725,9.963134740930538,8777.776763009173,386.6906213337343,False,2.5641025641025643,2.316231153847442
ETH/USD,new_york,2026-05-17 19:00:00,0.1554776867321438,19.29537326580106,192.9537326580106,150,True,290.59346681583486,12.863582177200708,43589.020022375225,1989.9053072011163,False,0.6666666666666666,0.4664330601964314
ETH/USD,new_york,2026-05-18 21:00:00,0.9058069835178693,3.311963867124257,33.11963867124257,34,False,220.05467218789354,9.741070197424285,7481.858854388381,351.077899371883,False,2.9411764705882355,2.7174209505536076
ETH/USD,new_york,2026-05-30 17:00:00,0.1838240530943151,16.31995350717668,163.1995350717668,150,True,245.78285180568272,10.879969004784455,36867.42777085241,1826.5938952901436,False,0.6666666666666666,0.5514721592829452
ETH/USD,london,2026-06-03 14:00:00,0.5603961347184159,5.353355981849196,53.53355981849196,54,False,223.9526906895668,9.913622188609622,12093.445297236607,650.848238937843,False,1.8518518518518519,1.6811884041552478
ETH/USD,asia,2026-06-04 03:00:00,0.7481329929227151,4.009982220246648,40.09982220246649,41,False,220.9441520689266,9.780444439625974,9058.71023482599,502.0646738526447,False,2.4390243902439024,2.2443989787681455
ETH/USD,asia,2026-06-22 22:00:00,0.6997126530826044,4.287474275023344,42.87474275023344,43,False,225.24595084299384,9.970870407031033,9685.575886248735,563.5272840660998,False,2.3255813953488373,2.099137959247813
ETH/USD,new_york,2026-07-12 22:00:00,0.3523764601426103,8.513622047244215,85.13622047244216,86,False,223.6350319721695,9.899560520051415,19232.612749606575,1067.2629921259995,False,1.1627906976744187,1.057129380427831
SOL/USD,london,2025-08-01 11:00:00,0.23648143752582873,12.685985130111266,126.85985130111264,75,True,382.1086379776873,16.91464684014835,28658.14784832655,167.95836431226422,False,1.3333333333333333,0.7094443125774862
SOL/USD,asia,2025-08-10 06:00:00,0.6446233991392082,4.653880085653145,46.538800856531445,47,False,223.68726103604,9.901872522666265,10513.30126869388,58.048137044968385,False,2.127659574468085,1.9338701974176247
SOL/USD,new_york,2025-08-17 16:00:00,0.5264177004401988,5.698896517900809,56.98896517900809,57,False,225.8602664876955,9.998064066492647,12874.035189798644,66.4749386954375,False,1.7543859649122806,1.5792531013205964
SOL/USD,london,2025-08-29 12:00:00,1.020230933493549,2.940510723123422,29.40510723123422,30,False,221.42437813215784,9.801702410411407,6642.731343964735,31.05636513610085,False,3.3333333333333335,3.060692800480647
SOL/USD,asia,2025-09-05 01:00:00,0.8144325960269979,3.6835460842735617,36.83546084273562,37,False,224.8994039518202,9.955529957496113,8321.277946217348,41.00015124474414,False,2.7027027027027026,2.4432977880809936
SOL/USD,asia,2025-09-11 02:00:00,0.22970629770651668,13.060155642023092,130.6015564202309,75,True,393.37885335407793,17.41354085603079,29503.414001555844,131.85058365758496,False,1.3333333333333333,0.6891188931195501
SOL/USD,new_york,2025-09-19 03:00:00,0.4964596728249364,6.042786885245907,60.42786885245906,61,False,223.78520139747397,9.906208008599847,13650.897285245912,55.55016393442627,False,1.639344262295082,1.4893790184748092
SOL/USD,london,2025-09-30 13:00:00,0.7363151290252905,4.074342467974684,40.74342467974684,41,False,224.4903075330129,9.937420653596789,9204.10260885353,43.95732122587946,False,2.4390243902439024,2.2089453870758717
SOL/USD,new_york,2025-10-06 06:00:00,0.5846831145435276,5.130984503190507,51.30984503190506,52,False,222.9057544632208,9.867277890750975,11591.099232087481,49.42293527803086,False,1.9230769230769231,1.7540493436305828
SOL/USD,london,2025-10-09 12:00:00,0.5451791912381291,5.502777890672699,55.027778906726994,56,False,221.9820601097367,9.826389090486964,12430.995366145255,55.087339971551216,False,1.7857142857142858,1.6355375737143871
SOL/USD,asia,2025-10-14 04:00:00,0.9749229592070153,3.077166222898418,30.771662228984184,31,False,224.2400511024659,9.926342654511027,6951.441584176443,34.37109166983619,False,3.225806451612903,2.924768877621046
SOL/USD,new_york,2025-10-31 15:00:00,1.1463037231187025,2.6171074380165327,26.171074380165322,27,False,218.96853284358767,9.692990511172342,5912.150386776867,31.116253443526208,False,3.7037037037037037,3.4389111693561074
SOL/USD,asia,2025-11-06 02:00:00,0.2513773253946576,11.934250614251134,119.34250614251134,75,True,359.4659934349051,15.912334152334846,26959.949507617883,166.51400491401216,False,1.3333333333333333,0.7541319761839728
SOL/USD,new_york,2025-11-14 20:00:00,1.7516355611139467,1.712685027981597,17.12685027981597,18,False,214.94577697841927,9.514916822119984,3869.023985611547,27.65754355072429,False,5.555555555555555,5.25490668334184
SOL/USD,asia,2025-12-03 02:00:00,0.742121679274388,4.0424637681158435,40.42463768115843,41,False,222.7338378225467,9.859667727111812,9132.087350724414,65.47942028985348,False,2.4390243902439024,2.226365037823164
SOL/USD,london,2026-02-01 14:00:00,1.4664753520270368,2.0457213930348352,20.45721393034835,21,False,220.0650693200673,9.741530443023024,4621.366455721413,44.95601990049771,False,4.761904761904762,4.3994260560811105
SOL/USD,asia,2026-02-07 03:00:00,2.1141620694939074,1.419001903065145,14.19001903065145,15,False,213.70547060668568,9.460012687100967,3205.5820591002853,36.58808762197826,False,6.666666666666667,6.342486208481723
SOL/USD,asia,2026-03-05 09:00:00,1.0699426802817718,2.8038885215887857,28.038885215887856,29,False,218.41711468310103,9.668581108926846,6334.09632580993,68.93271626913528,False,3.4482758620689653,3.2098280408453155
SOL/USD,london,2026-03-30 18:00:00,0.6479142713152303,4.630242198416413,46.302421984164134,47,False,222.55111353001305,9.851579145566836,10459.902335910614,126.26213320912952,False,2.127659574468085,1.9437428139456907
SOL/USD,asia,2026-04-01 01:00:00,0.248295907885469,12.082357802625584,120.82357802625583,75,True,363.927060939244,16.109810403500777,27294.529570443297,329.46621293146455,False,1.3333333333333333,0.744887723656407
SOL/USD,asia,2026-04-30 05:00:00,0.245765946223208,12.206735905044223,122.0673590504422,75,True,367.67339571908127,16.27564787339229,27575.504678931095,335.1691394658674,False,1.3333333333333333,0.737297838669624
SOL/USD,asia,2026-05-07 06:00:00,0.590653870101037,5.079116809116685,50.79116809116685,51,False,224.9789811071952,9.95905256689546,11473.928036466956,128.72022792022477,False,1.9607843137254901,1.7719616103031108
SOL/USD,london,2026-05-07 10:00:00,1.377057583821661,2.1785581338394646,21.785581338394646,22,False,223.70227121221384,9.902536971997568,4921.449966668704,55.32455764403352,False,4.545454545454546,4.131172751464983
SOL/USD,new_york,2026-05-14 20:00:00,0.6747905727463861,4.44582381729201,44.4582381729201,45,False,223.18430747145203,9.879608482871133,10043.293836215342,110.55660685154983,False,2.2222222222222223,2.0243717182391583
SOL/USD,new_york,2026-05-18 19:00:00,0.8091187899749689,3.7077374016895694,37.07737401689569,38,False,220.41913420823167,9.75720368865676,8375.927099912804,98.70550538887495,False,2.6315789473684212,2.4273563699249068
SOL/USD,new_york,2026-05-19 16:00:00,0.6134766822275606,4.890161414296741,48.90161414296742,49,False,225.45041308883492,9.979921253666818,11047.07024135291,130.2290545734063,False,2.0408163265306123,1.8404300466826817
SOL/USD,london,2026-05-23 18:00:00,0.6800307492164729,4.4115652173913915,44.11565217391392,45,False,221.46449530435223,9.803478260869761,9965.90228869585,117.86295652174145,False,2.2222222222222223,2.0400922476494183
SOL/USD,asia,2026-06-24 10:00:00,0.16842971900357775,17.811583476763232,178.11583476763232,75,True,536.4943938312962,23.748777969017645,40237.079537347214,583.228915662619,False,1.3333333333333333,0.5052891570107332
SOL/USD,asia,2026-07-03 03:00:00,1.443566822472445,2.078185750252836,20.781857502528354,21,False,223.55736844053166,9.896122620251596,4694.704737251165,58.33418691226757,False,4.761904761904762,4.330700467417335
SOL/USD,london,2026-07-13 10:00:00,0.4858770425561409,6.174401622717879,61.744016227178776,62,False,224.97129422233218,9.958712294706254,13948.220241784595,183.2892494928954,False,1.6129032258064515,1.4576311276684228
SOL/USD,asia,2026-07-14 03:00:00,0.6676385844442662,4.493449105397588,44.934491053975876,45,False,225.57513926794147,9.985442456439083,10150.881267057366,135.8616749360969,False,2.2222222222222223,2.0029157533327986
XRP/USD,london,2025-08-01 13:00:00,0.6067648282644126,4.944254940717619,49.442549407176195,50,False,223.3853936255746,9.888509881435239,11169.26968127873,37.13913949775828,False,2.0,1.8202944847932379
XRP/USD,asia,2025-08-11 13:00:00,0.616254394825652,4.868119440914894,48.68119440914894,49,False,224.43421513886494,9.93493763452019,10997.276541804382,34.445336721728275,False,2.0408163265306123,1.848763184476956
XRP/USD,london,2025-08-13 14:00:00,0.47900120522883427,6.2630322580645785,62.630322580645775,50,True,282.96880784516406,12.526064516129155,14148.440392258202,43.7233548387101,False,2.0,1.4370036156865027
XRP/USD,asia,2025-08-23 07:00:00,0.21059895384075195,14.245085007727539,142.4508500772754,50,True,643.6043367171364,28.49017001545508,32180.21683585682,104.74683153013589,False,2.0,0.6317968615222559
XRP/USD,asia,2025-08-29 02:00:00,0.5187339346538805,5.7833116354759335,57.83311635475933,50,True,261.29464634011106,11.566623270951867,13064.732317005552,44.114694873880715,False,2.0,1.5562018039616416
XRP/USD,london,2025-09-14 04:00:00,0.47264167695763987,6.347303139475092,63.47303139475092,50,True,286.7762336839962,12.694606278950184,14338.81168419981,46.506227483273676,False,2.0,1.4179250308729197
XRP/USD,new_york,2025-09-29 17:00:00,0.906777219083852,3.308420124439167,33.084201244391664,34,False,219.8192175856781,9.730647424821079,7473.853397913055,25.993683688897622,False,2.9411764705882355,2.720331657251556
XRP/USD,new_york,2025-09-30 19:00:00,0.36627481075802837,8.190571428571118,81.90571428571118,50,True,370.05656959998595,16.381142857142237,18502.828479999298,64.54399999999755,False,2.0,1.098824432274085
XRP/USD,london,2025-10-05 10:00:00,0.16535521442554577,18.142760180996923,181.42760180996922,50,True,819.7044191855857,36.28552036199385,40985.220959279286,136.2920060331934,False,2.0,0.49606564327663727
XRP/USD,asia,2025-10-20 02:00:00,0.34336843600270983,8.736970802920057,87.36970802920057,50,True,394.7433304525705,17.473941605840114,19737.166522628526,82.44671532847043,False,2.0,1.0301053080081295
XRP/USD,london,2025-11-12 14:00:00,1.0686736438310487,2.8072181037846224,28.072181037846224,29,False,218.67648224736598,9.680062426843525,6341.617985173613,26.44213811939129,False,3.4482758620689653,3.2060209314931463
XRP/USD,london,2025-12-06 12:00:00,0.4275184275184131,7.0172413793105815,70.1724137931058,50,True,317.04457931035546,14.034482758621161,15852.228965517772,77.89793103448537,False,2.0,1.2825552825552393
XRP/USD,london,2025-12-17 13:00:00,0.3842074616312444,7.808281461434362,78.08281461434362,50,True,352.78440305277365,15.616562922868725,17639.22015263868,91.70663058186729,False,2.0,1.1526223848937334
