#,when,market,symbol,dir,level_swept,level_price,swept_at,confirmed_by,pullback_to,entry,stop,stop_move_pct_of_price,position_$,margin_$,leverage_x,targets,targets_hit,exit,exit_at,held,outcome,pl_$,pl_pct_of_margin,equity_after_$
69,Thu 16 Jul 22:51,crypto,DOT/USD,SHORT,prev_day,0.867595,16 Jul 21:35,5-minute break of structure,a fair value gap,0.85653,0.874577,2.107,3415.43,239.88,14.2,0.8334 / 0.830445 / 0.828021 / 0.825795,0,0.858101,16 Jul 23:59,0 days 01:08:00,flat by the close,-14.52,-6.1,2384.23
70,Fri 17 Jul 17:53,crypto,ADA/USD,SHORT,4h,0.16512,17 Jul 17:05,5-minute break of structure,the midpoint,0.165035,0.167148,1.28,5586.66,238.42,23.4,0.161025 / 0.160032 / 0.158839 / 0.157626,0,0.167148,17 Jul 23:37,0 days 05:44:00,stopped out,-81.61,-34.2,2302.62
71,Sun 19 Jul 09:36,crypto,DOT/USD,SHORT,1h,0.837827,19 Jul 02:35,5-minute break of structure,the midpoint,0.833083,0.842515,1.132,6101.51,230.26,26.5,0.820847 / 0.819901,2,0.819901,19 Jul 17:01,0 days 07:25:00,all 2 targets reached,78.33,34.0,2380.95
72,Mon 20 Jul 01:05,crypto,LTC/USD,LONG,1h,46.9311,20 Jul 00:00,5-minute break of structure,a fair value gap,47.632,46.733393,1.887,3786.17,238.09,15.9,48.9631,0,46.733393,20 Jul 05:12,0 days 04:07:00,stopped out,-76.78,-32.2,2304.17
73,Mon 20 Jul 07:43,crypto,BTC/USD,LONG,4h,64252.7005,20 Jul 07:00,5-minute close back through the price the sweep leg started from,a fair value gap,64125.129,63750.15013,0.585,11821.07,230.42,51.3,64768.2 / 64877.7 / 64920.1 / 65055.9,3,64125.129,20 Jul 14:18,0 days 06:35:00,stopped at break even,54.16,23.5,2358.33
74,Mon 20 Jul 08:06,crypto,ETH/USD,LONG,prev_day,1851.8,20 Jul 06:35,5-minute break of structure,a fair value gap,1861.26,1839.516586,1.168,6056.26,235.83,25.7,1883.22 / 1889.5 / 1892.34 / 1895.09,3,1861.26,20 Jul 13:56,0 days 05:50:00,stopped at break even,60.59,25.7,2418.92
75,Mon 20 Jul 10:10,sp500,QQQ,SHORT,london,703.75,20 Jul 09:30,5-minute break of structure,a fair value gap,700.27,705.870027,0.8,9074.41,241.89,37.5,693.5 / 686.76,0,695.73,20 Jul 15:55,0 days 05:45:00,flat by the close,58.51,24.2,2477.44
76,Tue 21 Jul 08:13,crypto,LTC/USD,LONG,1h,47.25075,21 Jul 05:20,5-minute break of structure,the midpoint,47.56955,47.082731,1.023,7262.49,247.74,29.3,48.9631,0,47.082731,21 Jul 20:06,0 days 11:53:00,stopped out,-84.59,-34.1,2392.84
77,Tue 21 Jul 10:09,sp500,SPY,SHORT,4h,746.68,21 Jul 09:30,5-minute break of structure,a fair value gap,745.195,746.76452,0.211,34083.06,239.28,142.4,741.73 / 741.25 / 740.96 / 740.8,0,746.76452,21 Jul 10:27,0 days 00:18:00,stopped out,-61.48,-25.7,2331.36
78,Tue 21 Jul 14:54,crypto,XRP/USD,SHORT,prev_week,1.1292,21 Jul 14:10,5-minute gap inversion,the midpoint,1.1489,1.147958,0.082,85341.95,233.14,366.1,1.1413 / 1.13689 / 1.13538 / 1.131,0,1.147958,21 Jul 14:55,0 days 00:01:00,stopped out,-3.3,-1.4,2328.06
