family,config,symbol,train_trades,train_$per_trade,train_pct_of_position,train_cost_multiple,train_win_pct,train_worst_drop_pct,val_trades,val_$per_trade,val_pct_of_position,val_cost_multiple,val_win_pct,verdict,E,H,filter,rsi_n,thresh,gate_pct,orig_constant,lookback,exit_ma
D2-breakout,"D2 buy a new 40-day high, sell when price drops below the 10-day average",QQQ,117,-24.57,-0.2444,-6.11,37.6,-42.9,51,11.56,0.1513,3.78,39.2,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",40.0,10.0
D2-breakout,"D2 buy a new 40-day high, sell when price drops below the 20-day average",QQQ,84,-23.41,-0.1894,-4.73,41.7,-36.6,34,99.55,0.9119,22.8,52.9,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",40.0,20.0
D2-breakout,"D2 buy a new 40-day high, sell when price drops below the 40-day average",QQQ,54,18.88,0.3604,9.01,40.7,-33.6,20,342.54,2.8865,72.16,50.0,SURVIVOR,,,,,,,"20-day channel, 20-day exit on gold daily",40.0,40.0
D2-breakout,"D2 buy a new 55-day high, sell when price drops below the 10-day average",QQQ,109,-23.04,-0.2216,-5.54,38.5,-40.9,47,11.22,0.1457,3.64,40.4,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",55.0,10.0
D2-breakout,"D2 buy a new 55-day high, sell when price drops below the 20-day average",QQQ,78,-25.53,-0.2162,-5.41,42.3,-38.7,34,43.25,0.4491,11.23,44.1,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",55.0,20.0
D2-breakout,"D2 buy a new 55-day high, sell when price drops below the 40-day average",QQQ,51,-5.77,0.1221,3.05,39.2,-40.4,20,222.05,2.0666,51.66,40.0,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",55.0,40.0
D3-hidden-divergence,"D3 higher low in price with a lower low in RSI7 over 10 days, inside an uptrend",QQQ,91,53.72,0.4569,11.42,69.2,-15.7,35,50.12,0.4904,12.26,65.7,SURVIVOR,,,,7.0,,,BTC 4-hour bars,10.0,
D3-hidden-divergence,"D3 higher low in price with a lower low in RSI7 over 20 days, inside an uptrend",QQQ,74,70.56,0.5866,14.67,77.0,-13.1,35,38.67,0.3825,9.56,71.4,SURVIVOR,,,,7.0,,,BTC 4-hour bars,20.0,
D3-hidden-divergence,"D3 higher low in price with a lower low in RSI7 over 40 days, inside an uptrend",QQQ,52,94.84,0.7855,19.64,84.6,-8.9,22,37.56,0.3828,9.57,68.2,SURVIVOR,,,,7.0,,,BTC 4-hour bars,40.0,
D3-hidden-divergence,"D3 higher low in price with a lower low in RSI14 over 10 days, inside an uptrend",QQQ,87,40.44,0.3722,9.3,69.0,-19.1,29,53.05,0.5196,12.99,72.4,SURVIVOR,,,,14.0,,,BTC 4-hour bars,10.0,
D3-hidden-divergence,"D3 higher low in price with a lower low in RSI14 over 20 days, inside an uptrend",QQQ,64,30.69,0.3079,7.7,70.3,-17.7,36,28.76,0.2952,7.38,69.4,SURVIVOR,,,,14.0,,,BTC 4-hour bars,20.0,
D3-hidden-divergence,"D3 higher low in price with a lower low in RSI14 over 40 days, inside an uptrend",QQQ,51,69.62,0.6191,15.48,80.4,-17.7,19,67.28,0.6532,16.33,73.7,SURVIVOR,,,,14.0,,,BTC 4-hour bars,40.0,
F-structure-stop,RSI2 below 5 while above the 200-day average | swing3 | no stop,SPY,65,113.52,0.8803,22.01,73.8,-15.6,29,31.02,0.3069,7.67,79.3,SURVIVOR,,,,,,,,,
F-structure-stop,RSI2 below 5 while above the 200-day average | swing3 | stop 1.84% below entry,SPY,65,67.19,0.5805,14.51,64.6,-8.5,29,30.16,0.2971,7.43,75.9,SURVIVOR,,,,,,,,,
F-structure-stop,buy 4 days before month end | swing3 | no stop,SPY,231,104.95,0.581,14.52,62.3,-23.2,81,55.28,0.4806,12.02,65.4,SURVIVOR,,,,,,,,,
F-structure-stop,buy 4 days before month end | swing3 | stop 3.12% below entry,SPY,231,61.35,0.4229,10.57,57.6,-25.9,81,37.8,0.3533,8.83,63.0,SURVIVOR,,,,,,,,,
F-structure-stop,RSI2 below 5 while above the 200-day average | swing5 | no stop,SPY,65,113.52,0.8803,22.01,73.8,-15.6,29,31.02,0.3069,7.67,79.3,SURVIVOR,,,,,,,,,
F-structure-stop,RSI2 below 5 while above the 200-day average | swing5 | stop 2.26% below entry,SPY,65,88.65,0.7256,18.14,69.2,-6.5,29,22.21,0.2248,5.62,75.9,SURVIVOR,,,,,,,,,
F-structure-stop,buy 4 days before month end | swing5 | no stop,SPY,231,104.95,0.581,14.52,62.3,-23.2,81,55.28,0.4806,12.02,65.4,SURVIVOR,,,,,,,,,
F-structure-stop,buy 4 days before month end | swing5 | stop 4.24% below entry,SPY,231,80.58,0.4994,12.49,60.6,-28.1,81,56.94,0.491,12.28,65.4,SURVIVOR,,,,,,,,,
F-structure-stop,RSI2 below 5 while above the 200-day average | swing3 | no stop,ES,43,35.0,0.345,17.25,79.1,-14.5,22,16.93,0.1809,9.04,72.7,SURVIVOR,,,,,,,,,
F-structure-stop,RSI2 below 5 while above the 200-day average | swing3 | stop 1.54% below entry,ES,43,19.07,0.1906,9.53,69.8,-5.1,22,-4.03,-0.0329,-1.65,59.1,FAIL,,,,,,,,,
F-structure-stop,buy 4 days before month end | swing3 | no stop,ES,175,61.78,0.4678,23.39,64.6,-22.2,62,123.43,0.9516,47.58,69.4,SURVIVOR,,,,,,,,,
F-structure-stop,buy 4 days before month end | swing3 | stop 3.11% below entry,ES,175,59.33,0.4435,22.18,60.6,-21.3,62,100.36,0.8125,40.63,64.5,SURVIVOR,,,,,,,,,
F-structure-stop,RSI2 below 5 while above the 200-day average | swing5 | no stop,ES,43,35.0,0.345,17.25,79.1,-14.5,22,16.93,0.1809,9.04,72.7,SURVIVOR,,,,,,,,,
F-structure-stop,RSI2 below 5 while above the 200-day average | swing5 | stop 2.32% below entry,ES,43,21.03,0.2105,10.52,74.4,-5.1,22,27.99,0.2816,14.08,72.7,SURVIVOR,,,,,,,,,
F-structure-stop,buy 4 days before month end | swing5 | no stop,ES,175,61.78,0.4678,23.39,64.6,-22.2,62,123.43,0.9516,47.58,69.4,SURVIVOR,,,,,,,,,
F-structure-stop,buy 4 days before month end | swing5 | stop 3.99% below entry,ES,175,87.6,0.5688,28.44,64.0,-17.9,62,99.67,0.81,40.5,66.1,SURVIVOR,,,,,,,,,
F-structure-stop,RSI2 below 5 while above the 200-day average | swing3 | no stop,QQQ,61,79.88,0.6721,16.8,68.9,-12.0,22,44.1,0.4328,10.82,68.2,SURVIVOR,,,,,,,,,
F-structure-stop,RSI2 below 5 while above the 200-day average | swing3 | stop 2.01% below entry,QQQ,61,25.33,0.2514,6.28,59.0,-12.7,22,-47.65,-0.4862,-12.15,40.9,FAIL,,,,,,,,,
F-structure-stop,buy 4 days before month end | swing3 | no stop,QQQ,187,30.21,0.3432,8.58,60.4,-56.5,66,160.24,1.155,28.88,68.2,SURVIVOR,,,,,,,,,
F-structure-stop,buy 4 days before month end | swing3 | stop 4.03% below entry,QQQ,187,14.63,0.191,4.77,53.5,-63.8,66,117.07,0.925,23.12,63.6,SURVIVOR,,,,,,,,,
F-structure-stop,RSI2 below 5 while above the 200-day average | swing5 | no stop,QQQ,61,79.88,0.6721,16.8,68.9,-12.0,22,44.1,0.4328,10.82,68.2,SURVIVOR,,,,,,,,,
F-structure-stop,RSI2 below 5 while above the 200-day average | swing5 | stop 2.78% below entry,QQQ,61,29.95,0.2937,7.34,63.9,-10.4,22,-50.71,-0.5136,-12.84,50.0,FAIL,,,,,,,,,
F-structure-stop,buy 4 days before month end | swing5 | no stop,QQQ,187,30.21,0.3432,8.58,60.4,-56.5,66,160.24,1.155,28.88,68.2,SURVIVOR,,,,,,,,,
F-structure-stop,buy 4 days before month end | swing5 | stop 5.39% below entry,QQQ,187,11.05,0.1757,4.39,56.1,-66.0,66,154.26,1.1234,28.09,66.7,SURVIVOR,,,,,,,,,
