family,indicator,mode,config,tf,asset,tr_n,tr_exp,tr_win%,tr_ret%,va_n,va_exp,va_win%,va_ret%,va_dd%,verdict,va_exp_delta_vs_base,tr_exp_delta_vs_base,va_sample_retention_vs_base,filter_is_noop
volume,A/D line trend (vs own MA),signal,50,15m,BTC,10901,-0.9173,27.26,-100.0,3559,-2.5483,25.18,-90.69,-91.11,FAIL,,,,False
volume,Force Index 0-cross,signal,13,1h,BTC,3385,-1.3876,24.55,-46.97,1128,-4.1421,23.94,-46.72,-51.82,FAIL,,,,False
volume,Force Index 0-cross,filter,13,1h,BTC,350,8.3545,34.57,29.24,119,0.5375,38.66,0.64,-28.45,SURVIVOR,0.11889999999999995,0.6193,1.0,False
volume,Force Index 0-cross,signal,2,1h,BTC,12108,-0.8248,28.68,-99.86,4008,-2.2134,30.19,-88.71,-89.77,FAIL,,,,False
volume,Force Index 0-cross,filter,2,1h,BTC,351,7.7352,34.47,27.15,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,0.0,1.0,True
volume,Force Index 0-cross,signal,13,15m,BTC,14135,-0.7074,21.54,-99.99,4943,-1.7412,22.56,-86.07,-87.5,FAIL,,,,False
volume,Force Index 0-cross,signal,2,15m,BTC,47892,-0.2088,27.69,-100.0,16243,-0.6151,28.85,-99.91,-99.91,FAIL,,,,False
volume,Ease of Movement 0-cross,signal,14,1h,BTC,14727,-0.6756,36.82,-99.5,4857,-1.8073,37.99,-87.78,-88.71,FAIL,,,,False
volume,Ease of Movement 0-cross,filter,14,1h,BTC,351,7.7529,34.47,27.21,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,0.017700000000000493,1.0,False
volume,Ease of Movement 0-cross,signal,20,1h,BTC,14727,-0.6756,36.82,-99.5,4857,-1.8073,37.99,-87.78,-88.71,FAIL,,,,False
volume,Ease of Movement 0-cross,filter,20,1h,BTC,351,7.7529,34.47,27.21,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,0.017700000000000493,1.0,False
volume,Ease of Movement 0-cross,signal,14,15m,BTC,58265,-0.1716,32.78,-100.0,18607,-0.537,34.61,-99.92,-99.92,FAIL,,,,False
volume,Ease of Movement 0-cross,signal,20,15m,BTC,58265,-0.1716,32.78,-100.0,18607,-0.537,34.61,-99.92,-99.92,FAIL,,,,False
levels,Classic pivots (reversion),signal,S1/R1,1h,BTC,730,-10.9477,66.03,-79.92,253,-4.9002,62.06,-12.4,-53.16,FAIL,,,,False
levels,Classic pivots (reversion),filter,S1/R1,1h,BTC,347,5.6683,32.28,19.67,119,-11.5392,33.61,-13.73,-38.24,FAIL,-11.957799999999999,-2.0668999999999995,1.0,False
levels,Classic pivots (reversion),signal,S2/R2,1h,BTC,329,-21.9656,62.01,-72.27,117,-16.5833,62.39,-19.4,-42.89,FAIL,,,,False
levels,Classic pivots (reversion),filter,S2/R2,1h,BTC,351,8.8579,34.47,31.09,119,-2.3006,38.66,-2.74,-28.98,FAIL,-2.7192000000000003,1.122700000000001,1.0,False
levels,Classic pivots (reversion),signal,S1/R1,15m,BTC,831,-10.7385,64.14,-89.24,306,1.8498,66.99,5.66,-49.39,FAIL,,,,False
levels,Classic pivots (reversion),signal,S2/R2,15m,BTC,375,-20.9353,62.13,-78.51,131,-22.6945,62.6,-29.73,-51.6,FAIL,,,,False
levels,Camarilla pivots (reversion),signal,S3/R3,1h,BTC,1352,-6.4489,61.09,-87.19,464,-9.9824,58.84,-46.32,-54.84,FAIL,,,,False
levels,Camarilla pivots (reversion),filter,S3/R3,1h,BTC,346,-0.5272,30.35,-1.82,119,-17.5486,31.09,-20.88,-37.42,FAIL,-17.967200000000002,-8.2624,1.0,False
levels,Camarilla pivots (reversion),signal,S4/R4,1h,BTC,715,-12.6925,53.57,-90.75,260,-12.8398,54.23,-33.38,-52.78,FAIL,,,,False
levels,Camarilla pivots (reversion),filter,S4/R4,1h,BTC,348,4.4237,32.76,15.39,119,-8.6815,36.13,-10.33,-38.89,FAIL,-9.1001,-3.3114999999999997,1.0,False
levels,Camarilla pivots (reversion),signal,S3/R3,15m,BTC,1646,-5.3263,61.91,-87.67,585,-7.6385,62.39,-44.69,-53.97,FAIL,,,,False
levels,Camarilla pivots (reversion),signal,S4/R4,15m,BTC,836,-11.1377,52.87,-93.11,307,-14.4654,54.07,-44.41,-59.53,FAIL,,,,False
levels,Williams fractals,signal,k=2 (5-bar),1h,BTC,7274,-1.2769,41.42,-92.88,2456,-3.4216,41.04,-84.03,-86.35,FAIL,,,,False
levels,Williams fractals,filter,k=2 (5-bar),1h,BTC,348,11.3601,33.91,39.53,118,-7.6339,34.75,-9.01,-27.25,FAIL,-8.0525,3.6248999999999993,0.992,False
levels,Williams fractals,signal,k=3 (7-bar),1h,BTC,5298,-1.8304,42.05,-96.97,1763,-3.8515,41.97,-67.9,-73.3,FAIL,,,,False
levels,Williams fractals,filter,k=3 (7-bar),1h,BTC,349,9.6672,32.38,33.74,116,-4.1821,34.48,-4.85,-26.96,FAIL,-4.6007,1.9319999999999995,0.975,False
levels,Williams fractals,signal,k=2 (5-bar),15m,BTC,27526,-0.3633,39.17,-100.0,9617,-1.032,38.52,-99.25,-99.31,FAIL,,,,False
levels,Williams fractals,signal,k=3 (7-bar),15m,BTC,20138,-0.4964,40.47,-99.97,7012,-1.3972,37.39,-97.97,-98.1,FAIL,,,,False
momentum,Awesome Oscillator 0-cross,filter,5/34,1h,ETH,306,-6.6926,34.97,-20.48,110,-44.8776,30.0,-49.37,-58.08,FAIL,,,,False
momentum,Connors RSI extremes,filter,3/2/100,1h,ETH,307,-10.2378,34.2,-31.43,112,-42.7096,28.57,-47.83,-55.14,FAIL,,,,False
momentum,Connors RSI extremes,filter,3/2/50,1h,ETH,308,-11.2102,33.77,-34.53,112,-42.8006,28.57,-47.94,-55.23,FAIL,,,,False
momentum,Fisher Transform 0-cross,filter,20,1h,ETH,308,-10.1381,34.74,-31.23,111,-39.4445,30.63,-43.78,-55.37,FAIL,,,,False
momentum,Momentum 0-cross,filter,10,1h,ETH,308,-8.1736,34.74,-25.17,112,-43.2791,29.46,-48.47,-54.5,FAIL,,,,False
momentum,Momentum 0-cross,filter,20,1h,ETH,308,-8.1736,34.74,-25.17,112,-43.2791,29.46,-48.47,-54.5,FAIL,,,,False
momentum,Momentum 0-cross,filter,5,1h,ETH,308,-8.1736,34.74,-25.17,112,-43.2791,29.46,-48.47,-54.5,FAIL,,,,False
momentum,ROC 0-cross,filter,12,1h,ETH,308,-8.1736,34.74,-25.17,112,-43.2791,29.46,-48.47,-54.5,FAIL,,,,False
momentum,ROC 0-cross,filter,6,1h,ETH,308,-8.1736,34.74,-25.17,112,-43.2791,29.46,-48.47,-54.5,FAIL,,,,False
momentum,RSI 50-cross,filter,14,1h,ETH,308,-8.1736,34.74,-25.17,112,-43.2791,29.46,-48.47,-54.5,FAIL,,,,False
momentum,RSI 50-cross,filter,21,1h,ETH,306,-6.652,34.97,-20.35,112,-48.066,29.46,-53.83,-58.9,FAIL,,,,False
momentum,RSI 50-cross,filter,7,1h,ETH,308,-8.1736,34.74,-25.17,112,-43.2791,29.46,-48.47,-54.5,FAIL,,,,False
