family,indicator,tf,eye_direction,eye_state,eye_tr_n,eye_tr_exp,eye_va_n,eye_va_exp,eye_va_win_pct,eye_va_ret_pct,eye_verdict,ungated_tr_n,ungated_tr_exp,ungated_va_n,ungated_va_exp,ungated_verdict,atr_gate_dir,atr_tr_n,atr_tr_exp,atr_va_n,atr_va_exp,control_n_draws,control_mean_va_exp,control_median_va_exp,control_pct_beat_eye,control_pct_beat_ungated
trend,DEMA cross,15m,long,uptrend|at range high|messy|expanding,83,14.5689,27,9.6829,44.44,2.61,SURVIVOR,8334,-1.1919,2815,-2.5422,FAIL,above,939,-4.057906522331273,426,-6.023322075953548,20,-17.322725,-16.4396,0.05,0.2
trend,DEMA cross,1h,long,downtrend|pulling back in trend|messy|contracting,53,57.2907,21,2.7863,38.1,0.59,SURVIVOR,1972,17.3215,649,-2.0284,FAIL,below,392,-5.492990159083802,88,-17.14638889653057,20,2.982335,-14.9295,0.1,0.1
trend,EMA cross,15m,short,uptrend|pulling back in trend|clean|expanding,51,27.4869,11,-25.0916,27.27,-2.76,FAIL,5168,-1.7366,1637,-1.9452,FAIL,below,928,-5.576013884000026,243,-11.166579788126525,20,-1.4770099999999997,1.7331,0.85,0.55
trend,EMA cross,1h,long,downtrend|at range high|messy|expanding,20,107.9981,8,-86.179,12.5,-6.89,FAIL,1182,4.6447,373,2.8346,SURVIVOR,above,167,8.273839992105694,96,1.55631090253947,20,12.551944999999998,14.5717,1.0,0.6
trend,Hull MA cross,15m,short,transition|at range low|clean|expanding,205,-0.5899,68,-15.4199,32.35,-10.49,FAIL,46841,-0.2135,15640,-0.6376,FAIL,below,1482,-4.172482300045044,430,-10.356433021141571,20,-6.753975000000001,-5.6145,0.9,0.15
trend,Hull MA cross,1h,long,transition|at range high|clean|contracting,23,43.6389,10,4.5749,50.0,0.46,SURVIVOR,11243,-0.8562,3892,-2.3956,FAIL,below,684,-4.229904227419767,187,-2.874585259321382,20,-17.043275,-22.1728,0.4,0.4
trend,KAMA cross,15m,long,downtrend|at range low|clean|expanding,36,4.1846,14,-33.9797,21.43,-4.76,FAIL,20454,-0.4889,6531,-1.3929,FAIL,below,1361,-5.095625563145542,371,-5.644722288420045,20,-13.22018,-12.52005,0.85,0.25
trend,KAMA cross,1h,long,downtrend|at range high|messy|expanding,82,43.6613,21,40.7692,47.62,8.56,SURVIVOR,5070,-1.9414,1562,-2.8861,FAIL,above,412,-6.9188526058215025,198,26.073000785245974,20,-22.599829999999994,-22.3309,0.15,0.15
trend,Linreg slope sign,15m,short,downtrend|pulling back in trend|clean|expanding,30,16.1777,10,-14.1198,30.0,-1.41,FAIL,7472,-1.3278,2409,-2.647,FAIL,below,1134,-3.991927589780233,310,-6.635330918669312,20,-4.151449999999999,-1.7708499999999998,0.6,0.55
trend,Linreg slope sign,1h,long,downtrend|at range high|messy|expanding,33,39.9071,21,67.6515,52.38,14.21,SURVIVOR,1837,3.1727,601,2.8028,SURVIVOR,below,424,-0.26763545119080656,104,-13.952281677501613,20,2.73301,16.32645,0.1,0.55
