tool,cell,tr_n,tr_exp,va_n,va_exp,verdict
T2-hidden-div-4h,ranging×normal×weekend,5,219.73601390100848,0,,UNRELIABLE
T2-hidden-div-4h,ranging×violent×asia,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,ranging×violent×london,1,-264.29713036386784,0,,UNRELIABLE
T2-hidden-div-4h,ranging×violent×newyork,1,759.776459620798,0,,UNRELIABLE
T2-hidden-div-4h,ranging×violent×off-hours,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,ranging×violent×weekend,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,crowded-long×violent,4,514.7719204090367,0,,UNRELIABLE
T2-hidden-div-4h,crowded-short×violent,1,25.914380103788062,0,,UNRELIABLE
T2-hidden-div-4h,neutral-crowd×violent,10,66.34248948513178,0,,UNRELIABLE
T2-hidden-div-4h,news-hot(13mo-span),0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,ALL-violent,15,192.82941236202922,5,145.65107168556534,THIN-VAL
T2-hidden-div-4h,session=asia,14,34.82498835536587,0,,UNRELIABLE
T2-hidden-div-4h,session=london,30,190.5582430581767,10,-22.37237140578145,FADED
T2-hidden-div-4h,session=newyork,27,-18.576362808013073,0,,COLD
T2-hidden-div-4h,session=off-hours,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,session=weekend,35,-66.02626932322998,0,,COLD
T2-hidden-div-4h,crowd=crowded-long,17,82.47920286525711,3,-179.08430630596135,THIN-VAL
T2-hidden-div-4h,crowd=crowded-short,3,-165.99765469047998,0,,UNRELIABLE
T2-hidden-div-4h,crowd=neutral,75,27.62235085462363,30,112.5756563919654,HOT
T2-hidden-div-4h,vol=quiet,16,30.384335382238874,1,-266.8391001392192,THIN-VAL
T2-hidden-div-4h,vol=normal,63,-11.59728001315275,0,,COLD
T2-hidden-div-4h,vol=violent,15,192.82941236202922,5,145.65107168556534,THIN-VAL
T2-hidden-div-4h,trend=trending-up,37,89.93552582087048,12,-43.79322167062188,FADED
T2-hidden-div-4h,trend=trending-down,30,-11.44506134906763,0,,COLD
T2-hidden-div-4h,trend=ranging,27,-51.7726098779588,0,,COLD
T3-choch-confluence,UNCONDITIONAL,52,15.450717516009998,25,68.25651333996386,BASELINE
T3-choch-confluence,trending-up×quiet,2,-435.9655407018363,0,,UNRELIABLE
T3-choch-confluence,trending-up×normal,20,-136.27534578281967,0,,COLD
T3-choch-confluence,trending-up×violent,11,49.66970640374877,0,,UNRELIABLE
T3-choch-confluence,trending-down×quiet,7,93.6702946277115,0,,UNRELIABLE
T3-choch-confluence,trending-down×normal,20,54.570300556556866,9,290.8102687484995,HOT
T3-choch-confluence,trending-down×violent,4,203.55371309553357,0,,UNRELIABLE
T3-choch-confluence,ranging×quiet,1,849.3755727483658,0,,UNRELIABLE
T3-choch-confluence,ranging×normal,1,844.4091363720981,0,,UNRELIABLE
T3-choch-confluence,ranging×violent,0,0.0,0,,UNRELIABLE
T3-choch-confluence,trending-up×quiet×asia,1,-456.4631248409405,0,,UNRELIABLE
T3-choch-confluence,trending-up×quiet×london,0,0.0,0,,UNRELIABLE
T3-choch-confluence,trending-up×quiet×newyork,1,-435.3396041714441,0,,UNRELIABLE
T3-choch-confluence,trending-up×quiet×off-hours,0,0.0,0,,UNRELIABLE
T3-choch-confluence,trending-up×quiet×weekend,0,0.0,0,,UNRELIABLE
T3-choch-confluence,trending-up×normal×asia,5,44.3459805369137,0,,UNRELIABLE
T3-choch-confluence,trending-up×normal×london,3,-31.942389764020238,0,,UNRELIABLE
T3-choch-confluence,trending-up×normal×newyork,10,-12.497313418090744,0,,UNRELIABLE
T3-choch-confluence,trending-up×normal×off-hours,4,-257.66762174280484,0,,UNRELIABLE
T3-choch-confluence,trending-up×normal×weekend,10,-105.62633562301781,0,,UNRELIABLE
T3-choch-confluence,trending-up×violent×asia,1,660.3772858639877,0,,UNRELIABLE
T3-choch-confluence,trending-up×violent×london,5,-192.46870655663443,0,,UNRELIABLE
T3-choch-confluence,trending-up×violent×newyork,4,-6.822592832290411,0,,UNRELIABLE
T3-choch-confluence,trending-up×violent×off-hours,3,-81.02308859696495,0,,UNRELIABLE
T3-choch-confluence,trending-up×violent×weekend,2,870.3530530923726,0,,UNRELIABLE
T3-choch-confluence,trending-down×quiet×asia,2,-424.2871962155068,0,,UNRELIABLE
T3-choch-confluence,trending-down×quiet×london,2,-187.02127011577159,0,,UNRELIABLE
T3-choch-confluence,trending-down×quiet×newyork,3,706.6498531310195,0,,UNRELIABLE
T3-choch-confluence,trending-down×quiet×off-hours,0,0.0,0,,UNRELIABLE
T3-choch-confluence,trending-down×quiet×weekend,3,-420.79519034334044,0,,UNRELIABLE
T3-choch-confluence,trending-down×normal×asia,7,-7.896406731136916,0,,UNRELIABLE
T3-choch-confluence,trending-down×normal×london,9,-15.413938981951812,0,,UNRELIABLE
T3-choch-confluence,trending-down×normal×newyork,12,95.30914876861652,0,,UNRELIABLE
T3-choch-confluence,trending-down×normal×off-hours,3,122.31266549959643,0,,UNRELIABLE
T3-choch-confluence,trending-down×normal×weekend,2,188.67262349147768,0,,UNRELIABLE
T3-choch-confluence,trending-down×violent×asia,2,904.5706246892278,0,,UNRELIABLE
T3-choch-confluence,trending-down×violent×london,1,-431.6795991363506,0,,UNRELIABLE
T3-choch-confluence,trending-down×violent×newyork,2,-423.80085314886037,0,,UNRELIABLE
T3-choch-confluence,trending-down×violent×off-hours,2,-421.16403334762344,0,,UNRELIABLE
T3-choch-confluence,trending-down×violent×weekend,0,0.0,0,,UNRELIABLE
T3-choch-confluence,ranging×quiet×asia,0,0.0,0,,UNRELIABLE
T3-choch-confluence,ranging×quiet×london,0,0.0,0,,UNRELIABLE
T3-choch-confluence,ranging×quiet×newyork,1,849.3755727483658,0,,UNRELIABLE
T3-choch-confluence,ranging×quiet×off-hours,0,0.0,0,,UNRELIABLE
T3-choch-confluence,ranging×quiet×weekend,0,0.0,0,,UNRELIABLE
T3-choch-confluence,ranging×normal×asia,0,0.0,0,,UNRELIABLE
T3-choch-confluence,ranging×normal×london,0,0.0,0,,UNRELIABLE
T3-choch-confluence,ranging×normal×newyork,1,844.4091363720981,0,,UNRELIABLE
T3-choch-confluence,ranging×normal×off-hours,0,0.0,0,,UNRELIABLE
T3-choch-confluence,ranging×normal×weekend,0,0.0,0,,UNRELIABLE
T3-choch-confluence,ranging×violent×asia,0,0.0,0,,UNRELIABLE
T3-choch-confluence,ranging×violent×london,0,0.0,0,,UNRELIABLE
T3-choch-confluence,ranging×violent×newyork,0,0.0,0,,UNRELIABLE
T3-choch-confluence,ranging×violent×off-hours,0,0.0,0,,UNRELIABLE
T3-choch-confluence,ranging×violent×weekend,0,0.0,0,,UNRELIABLE
T3-choch-confluence,crowded-long×violent,7,226.40315219483975,0,,UNRELIABLE
T3-choch-confluence,crowded-short×violent,1,845.4357043594173,0,,UNRELIABLE
T3-choch-confluence,neutral-crowd×violent,8,-21.49916592445652,0,,UNRELIABLE
T3-choch-confluence,news-hot(13mo-span),0,0.0,0,,UNRELIABLE
T3-choch-confluence,ALL-violent,13,72.41432942701823,0,,UNRELIABLE
T3-choch-confluence,session=asia,17,17.510924676278805,6,-295.59803352728005,THIN-VAL
T3-choch-confluence,session=london,20,-93.50356454163811,0,,COLD
T3-choch-confluence,session=newyork,30,91.70067444345283,13,383.84877622278873,HOT
T3-choch-confluence,session=off-hours,11,-120.1183507444682,0,,UNRELIABLE
T3-choch-confluence,session=weekend,16,-76.09782789132271,0,,COLD
T3-choch-confluence,crowd=crowded-long,14,146.44225726591918,0,,UNRELIABLE
T3-choch-confluence,crowd=crowded-short,6,749.1332730296293,0,,UNRELIABLE
T3-choch-confluence,crowd=neutral,44,-48.90592327593363,0,,COLD
T3-choch-confluence,vol=quiet,9,-30.350611481474818,0,,UNRELIABLE
T3-choch-confluence,vol=normal,39,-65.71723659815125,0,,COLD
T3-choch-confluence,vol=violent,13,72.41432942701823,0,,UNRELIABLE
T3-choch-confluence,trend=trending-up,28,-79.29285031232368,0,,COLD
T3-choch-confluence,trend=trending-down,26,93.54170386089797,12,89.51954544581652,HOT
T3-choch-confluence,trend=ranging,2,882.7533792522308,0,,UNRELIABLE
T4-donchian20-1h,UNCONDITIONAL,121,-3.172350888694209,42,-56.14575974493036,BASELINE
T4-donchian20-1h,trending-up×quiet,13,129.88733637604017,0,,UNRELIABLE
T4-donchian20-1h,trending-up×normal,50,12.605799233762081,18,-12.013726196593476,FADED
T4-donchian20-1h,trending-up×violent,22,53.57321328754006,10,-93.14573726352901,FADED
T4-donchian20-1h,trending-down×quiet,16,-17.602715736490268,0,,COLD
T4-donchian20-1h,trending-down×normal,42,-2.0787218477022784,0,,COLD
T4-donchian20-1h,trending-down×violent,16,-101.26104939502966,0,,COLD
T4-donchian20-1h,ranging×quiet,33,21.85106640391446,5,87.99474671150419,THIN-VAL
T4-donchian20-1h,ranging×normal,66,-4.975168237829745,0,,COLD
T4-donchian20-1h,ranging×violent,17,41.86736096793431,11,-65.46748034715016,FADED
T4-donchian20-1h,trending-up×quiet×asia,1,236.82330349768745,0,,UNRELIABLE
T4-donchian20-1h,trending-up×quiet×london,1,238.7779570437906,0,,UNRELIABLE
T4-donchian20-1h,trending-up×quiet×newyork,2,48.777606340103375,0,,UNRELIABLE
T4-donchian20-1h,trending-up×quiet×off-hours,2,51.77418647135619,0,,UNRELIABLE
T4-donchian20-1h,trending-up×quiet×weekend,10,89.6813917135003,0,,UNRELIABLE
T4-donchian20-1h,trending-up×normal×asia,26,-7.187723125711482,0,,COLD
T4-donchian20-1h,trending-up×normal×london,23,-22.42046175275225,0,,COLD
T4-donchian20-1h,trending-up×normal×newyork,33,-0.9461604166029826,0,,COLD
T4-donchian20-1h,trending-up×normal×off-hours,16,1.2436974681387483,4,-41.46749275299317,THIN-VAL
T4-donchian20-1h,trending-up×normal×weekend,27,-12.734047598684104,0,,COLD
T4-donchian20-1h,trending-up×violent×asia,8,-42.51835294214288,0,,UNRELIABLE
T4-donchian20-1h,trending-up×violent×london,10,50.65390193280418,0,,UNRELIABLE
T4-donchian20-1h,trending-up×violent×newyork,17,39.17511023832487,6,-128.79236510190609,THIN-VAL
T4-donchian20-1h,trending-up×violent×off-hours,8,101.1420805253556,0,,UNRELIABLE
T4-donchian20-1h,trending-up×violent×weekend,5,88.69028036296986,0,,UNRELIABLE
T4-donchian20-1h,trending-down×quiet×asia,3,114.09026341723195,0,,UNRELIABLE
T4-donchian20-1h,trending-down×quiet×london,4,51.3212488238828,0,,UNRELIABLE
T4-donchian20-1h,trending-down×quiet×newyork,3,-133.3150989053344,0,,UNRELIABLE
T4-donchian20-1h,trending-down×quiet×off-hours,2,-136.03174211007354,0,,UNRELIABLE
T4-donchian20-1h,trending-down×quiet×weekend,12,-39.34569276272608,0,,UNRELIABLE
T4-donchian20-1h,trending-down×normal×asia,24,-24.984468231550334,0,,COLD
