sig_i,sig_t,stop_pct,gross_pct,net_pct,net_low_pct,net_R,reason,bars_held,sym,level,dirn,y,day,R,netR_pt,win
149042,2017-07-11 16:21:00,0.03724548915741392,-0.03724548915741392,-0.07724548915741392,-0.057245489157413926,-2.0739555555558535,stop,3,SPY,prev day low,1,2017,2017-07-11,-1.0,-2.0739555555558535,False
149092,2017-07-11 17:11:00,0.025143624685084538,-0.025143624685084538,-0.06514362468508454,-0.04514362468508454,-2.590860526315779,stop,1,SPY,prev day low,1,2017,2017-07-11,-1.0,-2.590860526315779,False
150960,2017-07-18 15:49:00,0.03260648053800044,-0.03260648053800044,-0.07260648053800045,-0.05260648053800045,-2.2267500000002443,stop,25,SPY,prev day low,1,2017,2017-07-18,-1.0,-2.2267500000002443,False
155172,2017-08-02 14:31:00,0.04862236628849455,-0.04862236628849455,-0.08862236628849454,-0.06862236628849455,-1.8226666666666353,stop,2,SPY,prev day low,1,2017,2017-08-02,-1.0,-1.8226666666666353,False
155297,2017-08-02 16:36:00,0.03242739304027584,-0.03242739304027584,-0.07242739304027584,-0.05242739304027584,-2.2335249999998075,stop,30,SPY,prev day low,1,2017,2017-08-02,-1.0,-2.2335249999998075,False
157191,2017-08-09 15:40:00,0.008105369807501614,-0.008105369807501614,-0.048105369807501616,-0.028105369807501612,-5.934999999997475,stop,4,SPY,prev day low,1,2017,2017-08-09,-1.0,-5.934999999997475,False
157406,2017-08-09 19:15:00,0.09322308690012555,0.20671206225680566,0.16671206225680565,0.18671206225680567,1.788313043478301,close,44,SPY,prev day low,1,2017,2017-08-09,2.2173913043478852,1.788313043478301,True
160219,2017-08-21 14:08:00,0.11142291185208891,-0.11142291185208891,-0.15142291185208892,-0.1314229118520889,-1.3589925925926167,stop,6,SPY,prev day low,1,2017,2017-08-21,-1.0,-1.3589925925926167,False
161385,2017-08-24 14:04:00,0.06549324600901556,-0.06549324600901556,-0.10549324600901555,-0.08549324600901556,-1.6107499999999044,stop,4,SPY,prev day low,1,2017,2017-08-24,-1.0,-1.6107499999999044,False
161462,2017-08-24 15:21:00,0.07772596501553677,-0.07772596501553677,-0.11772596501553678,-0.09772596501553678,-1.5146285413375613,stop,4,SPY,prev day low,1,2017,2017-08-24,-1.0,-1.5146285413375613,False
161512,2017-08-24 16:11:00,0.05321108427816931,-0.05321108427816931,-0.09321108427816932,-0.07321108427816932,-1.7517230769231034,stop,4,SPY,prev day low,1,2017,2017-08-24,-1.0,-1.7517230769231034,False
161640,2017-08-24 18:19:00,0.09007533573534181,-0.09007533573534181,-0.1300753357353418,-0.11007533573534181,-1.4440727272727296,stop,90,SPY,prev day low,1,2017,2017-08-24,-1.0,-1.4440727272727296,False
162196,2017-08-28 14:35:00,0.03067672863366548,-0.03067672863366548,-0.07067672863366548,-0.050676728633665485,-2.3039199999997035,stop,61,SPY,prev day low,1,2017,2017-08-28,-1.0,-2.3039199999997035,False
162338,2017-08-28 16:57:00,0.06550665301944589,0.13920163766632687,0.09920163766632686,0.11920163766632687,1.5143750000000533,close,182,SPY,prev day low,1,2017,2017-08-28,2.1250000000000666,1.5143750000000533,True
162423,2017-08-28 18:22:00,0.03191515478850194,-0.03191515478850194,-0.07191515478850194,-0.051915154788501935,-2.2533230769230292,stop,8,SPY,prev day low,1,2017,2017-08-28,-1.0,-2.2533230769230292,False
162479,2017-08-28 19:18:00,0.032738582419386354,0.09412342445571688,0.05412342445571688,0.07412342445571687,1.6531999999996139,close,41,SPY,prev day low,1,2017,2017-08-28,2.874999999999423,1.6531999999996139,True
168653,2017-09-20 18:12:00,0.10810810810811221,-0.10810810810811221,-0.1481081081081122,-0.1281081081081122,-1.369999999999986,stop,8,SPY,prev day low,1,2017,2017-09-20,-1.0,-1.369999999999986,False
169241,2017-09-22 15:00:00,0.020109167492501717,-0.020109167492501717,-0.06010916749250172,-0.04010916749250172,-2.989142514970605,stop,25,SPY,prev day low,1,2017,2017-09-22,-1.0,-2.989142514970605,False
169296,2017-09-22 15:55:00,0.03611267153519116,-0.03611267153519116,-0.07611267153519116,-0.05611267153519116,-2.1076444444444027,stop,66,SPY,prev day low,1,2017,2017-09-22,-1.0,-2.1076444444444027,False
169383,2017-09-22 17:22:00,0.02810003612862655,0.12444301714101154,0.08444301714101154,0.10444301714101153,3.0050857142844136,close,157,SPY,prev day low,1,2017,2017-09-22,4.428571428569689,3.0050857142844136,True
173792,2017-10-09 19:21:00,0.05909932626768278,-0.05909932626768278,-0.09909932626768278,-0.07909932626768278,-1.6768266666666412,stop,27,SPY,prev day low,1,2017,2017-10-09,-1.0,-1.6768266666666412,False
176816,2017-10-19 17:45:00,0.006496134017585985,-0.006496134017585985,-0.04649613401758598,-0.026496134017585986,-7.157508433741383,stop,1,SPY,prev day low,1,2017,2017-10-19,-1.0,-7.157508433741383,False
176937,2017-10-19 19:46:00,0.027391899823917664,0.105654470749357,0.06565447074935699,0.08565447074935699,2.396857142856143,close,13,SPY,prev day low,1,2017,2017-10-19,3.8571428571414073,2.396857142856143,True
180517,2017-11-02 14:26:00,0.13791017362336505,0.41560154640261726,0.3756015464026173,0.39560154640261724,2.7235231204072825,close,333,SPY,prev day low,1,2017,2017-11-02,3.0135669869985944,2.7235231204072825,True
180572,2017-11-02 15:21:00,0.038896884359549536,-0.038896884359549536,-0.07889688435954953,-0.05889688435954954,-2.0283600000003505,stop,4,SPY,prev day low,1,2017,2017-11-02,-1.0,-2.0283600000003505,False
180793,2017-11-02 19:02:00,0.031112666744442144,0.18667600046669708,0.14667600046669707,0.1666760004666971,4.714350000001165,close,57,SPY,prev day low,1,2017,2017-11-02,6.000000000001421,4.714350000001165,True
181782,2017-11-07 17:01:00,0.0561264975130305,-0.0561264975130305,-0.0961264975130305,-0.0761264975130305,-1.7126758620687756,stop,9,SPY,prev day low,1,2017,2017-11-07,-1.0,-1.7126758620687756,False
183790,2017-11-14 17:59:00,0.062184220753993394,-0.062184220753993394,-0.10218422075399339,-0.0821842207539934,-1.6432499999998993,stop,6,SPY,prev day low,1,2017,2017-11-14,-1.0,-1.6432499999998993,False
184262,2017-11-15 19:21:00,0.05844079947015003,-0.05844079947015003,-0.09844079947015003,-0.07844079947015004,-1.6844533333331777,stop,66,SPY,prev day low,1,2017,2017-11-15,-1.0,-1.6844533333331777,False
