family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,trades_yr,verdict,mean_ret_pct,tstat,win_pct
3a-bos-choch,k=5 struct=wick mode=choch R2.5,SPY,1h,1.4317209793501235,3.5793024483753086,62,-7.485861752524157,43.54838709677419,-4.641234286564977,-13.620200331608084,23.0,-24.06123745835446,47.82608695652174,-5.534084615421531,-6.823072058433299,29.0,46.529411764705884,36.641750676174084,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=both R1.5,SPY,1h,1.4326536882177514,2.148980532326627,124,-4.251980113407098,49.193548387096776,-5.272455340624804,-14.801115394084619,43.0,-13.671167122165867,51.162790697674424,-5.878601862531319,-7.949400526053564,46.0,51.33532934131737,71.99026309318909,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=both R2.5,SPY,1h,1.4326536882177514,3.5816342205443785,124,-5.172267744924239,49.193548387096776,-6.41361200370606,-17.110617677426813,43.0,-13.671167122165867,51.162790697674424,-5.878601862531319,-7.949400526053564,46.0,51.796407185628745,71.99026309318909,FAIL,,,
3a-bos-choch,k=5 struct=body mode=cont R1.5,SPY,1h,1.3913847519287705,2.087077127893156,90,-3.5957321025228643,55.55555555555556,-3.2361588922705797,-7.060072554356362,27.0,-7.231533598741239,44.44444444444444,-1.9525140716601386,-3.76584395253073,46.0,52.452991452991455,50.43629210720432,FAIL,,,
3a-bos-choch,k=5 struct=body mode=cont R2.5,SPY,1h,1.3913847519287705,3.4784618798219262,90,-2.341463103904607,55.55555555555556,-2.107316793514147,-6.807416217454895,27.0,-7.231533598741239,44.44444444444444,-1.9525140716601386,-3.76584395253073,46.0,53.282051282051285,50.43629210720432,FAIL,,,
3a-bos-choch,k=5 struct=body mode=choch R1.5,SPY,1h,1.2211703491443264,1.8317555237164895,68,5.0606827993397285,51.470588235294116,3.441264303551006,-9.176100894527544,26.0,-6.23453965263378,53.84615384615385,-1.620980309684783,-5.2621549553895735,29.0,43.59574468085106,40.52146545365134,FAIL,,,
3a-bos-choch,k=5 struct=body mode=choch R2.5,SPY,1h,1.2211703491443264,3.052925872860816,68,6.517732371886054,51.470588235294116,4.4320580128825116,-9.176100894527726,26.0,-9.876228859927043,53.84615384615385,-2.567819503581026,-5.2621549553895735,29.0,44.734042553191486,40.52146545365134,FAIL,,,
3a-bos-choch,k=5 struct=body mode=both R1.5,SPY,1h,1.254844126609984,1.8822661899149757,133,4.449921867415715,57.14285714285714,5.918396083662891,-10.175008834427581,46.0,-3.7503915946848316,52.17391304347826,-1.7251801335550265,-6.089832263152448,29.0,48.25698324022346,77.16321612982541,FAIL,,,
3a-bos-choch,k=5 struct=body mode=both R2.5,SPY,1h,1.254844126609984,3.13711031652496,133,6.4533851518471534,57.14285714285714,8.583002251956717,-10.175008834427581,46.0,-5.911476527013173,52.17391304347826,-2.7192792024260615,-6.089832263152448,29.0,48.58100558659218,77.16321612982541,FAIL,,,
3a-bos-choch,k=8 struct=wick mode=cont R1.5,SPY,1h,2.032788131602006,3.0491821974030096,53,9.246526984545232,60.37735849056604,4.900659301808963,-5.631197000332495,18.0,-21.175215914869316,44.44444444444444,-3.811538864676478,-5.701321283395427,46.0,60.690140845070424,30.606638800098352,FAIL,,,
3a-bos-choch,k=8 struct=wick mode=cont R2.5,SPY,1h,2.032788131602006,5.081970329005015,53,3.9889039701354463,60.37735849056604,2.1141191041717855,-5.631197000332495,18.0,-21.175215914869316,44.44444444444444,-3.811538864676478,-5.701321283395427,46.0,60.816901408450704,30.606638800098352,FAIL,,,
3a-bos-choch,k=8 struct=wick mode=choch R1.5,SPY,1h,1.986629580419018,2.9799443706285267,45,3.0993742423793367,55.55555555555556,1.3947184090707054,-5.158520774687601,21.0,-20.25173908416634,52.38095238095239,-4.252865207674928,-5.665571745921731,37.5,53.03030303030303,28.451241701499875,FAIL,,,
3a-bos-choch,k=8 struct=wick mode=choch R2.5,SPY,1h,1.986629580419018,4.966573951047545,45,7.446992516049633,55.55555555555556,3.351146632222335,-5.158520774687603,21.0,-20.25173908416634,52.38095238095239,-4.252865207674928,-5.665571745921731,37.5,53.04545454545455,28.451241701499875,FAIL,,,
3a-bos-choch,k=8 struct=wick mode=both R1.5,SPY,1h,2.032788131602006,3.0491821974030096,90,1.754520010953436,55.55555555555556,1.5790680098580978,-7.601562892284715,35.0,-19.82748637383702,45.714285714285715,-6.939620230842958,-9.508048419226924,46.0,55.416,53.88492746496188,FAIL,,,
3a-bos-choch,k=8 struct=wick mode=both R2.5,SPY,1h,2.032788131602006,5.081970329005015,90,0.9241112188813633,55.55555555555556,0.8317000969932264,-7.601562892284715,35.0,-19.82748637383702,45.714285714285715,-6.939620230842958,-9.508048419226924,46.0,55.496,53.88492746496188,FAIL,,,
3a-bos-choch,k=8 struct=body mode=cont R1.5,SPY,1h,1.7834188495814203,2.6751282743721303,56,6.777097603180209,58.92857142857143,3.79517465778092,-7.028732397909441,20.0,-18.957126080868058,45.0,-3.791425216173616,-6.168660095166333,46.0,57.61842105263158,32.76203589869683,FAIL,,,
3a-bos-choch,k=8 struct=body mode=cont R2.5,SPY,1h,1.7834188495814203,4.458547123953551,56,9.997141757028462,58.92857142857143,5.598399383935937,-7.028732397909597,20.0,-18.957126080868058,45.0,-3.791425216173616,-6.168660095166333,46.0,57.61842105263158,32.76203589869683,FAIL,,,
3a-bos-choch,k=8 struct=body mode=choch R1.5,SPY,1h,1.6394106126741532,2.45911591901123,57,-12.75587276629404,47.368421052631575,-7.270847476787601,-14.318202158381101,18.0,-12.263760777402341,50.0,-2.207476939932418,-4.964793429000394,46.0,52.4,32.33095647897713,FAIL,,,
3a-bos-choch,k=8 struct=body mode=choch R2.5,SPY,1h,1.6394106126741532,4.098526531685383,57,-7.507137264187565,47.368421052631575,-4.2790682405869145,-14.318202158381101,18.0,-12.263760777402341,50.0,-2.207476939932418,-4.964793429000394,46.0,52.42666666666667,32.33095647897713,FAIL,,,
3a-bos-choch,k=8 struct=body mode=both R1.5,SPY,1h,1.6787592120475145,2.5181388180712716,98,-4.966833272141657,53.06122448979592,-4.867496606698829,-12.207095146597606,34.0,-11.731627392202586,47.05882352941176,-3.9887533133488806,-6.110489195128881,46.0,53.65909090909091,56.90248340299975,FAIL,,,
3a-bos-choch,k=8 struct=body mode=both R2.5,SPY,1h,1.6787592120475145,4.196898030118787,98,-2.726345358896744,53.06122448979592,-2.6718184517188104,-12.115311913536866,34.0,-11.731627392202586,47.05882352941176,-3.9887533133488806,-6.110489195128881,46.0,53.74242424242424,56.90248340299975,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=cont R1.5,ES,1h,0.8396978775475757,1.2595468163213637,184,-1.4837331938362754,48.91304347826087,-2.7300690766587477,-7.163131850675876,67.0,-11.988422997155958,40.298507462686565,-8.032243408094486,-8.811618376388891,13.0,16.91832669322709,130.9526246875372,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=cont R2.5,ES,1h,0.8396978775475757,2.0992446938689393,184,-1.1850625478456076,48.369565217391305,-2.180515088035917,-6.767356199265216,67.0,-10.85003383049151,40.298507462686565,-7.269522666429307,-8.05536126367233,13.0,17.46414342629482,130.9526246875372,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=choch R1.5,ES,1h,0.8933092480480237,1.3399638720720355,171,-7.4501500656628385,44.44444444444444,-12.73975661228346,-13.605760612634658,63.0,2.253892792366709,55.55555555555556,1.4199524591910206,-4.141709127156556,13.0,17.46153846153846,122.0833234138793,FAIL,,,
