attack,asset,rsi_n,rsi_th,guard,half,date_range,n_total,before_exp,n_kept,after_exp,n_skipped,skipped_total_pnl,control_pctile,note
2_family_sweep,XRP,5.0,10.0,False,,,95,-25.734800399901417,46.0,-32.69505664581216,49.0,-940.8334322832752,30.0,
2_family_sweep,XRP,5.0,15.0,True,,,29,-5.422521407379024,16.0,28.878693409672906,13.0,-619.3122153687582,97.5,
2_family_sweep,XRP,5.0,15.0,False,,,261,-4.96322520396563,114.0,-5.92272680694185,147.0,-620.2109222436584,38.0,
2_family_sweep,XRP,5.0,20.0,True,,,76,-16.71036597834889,40.0,-5.0002867825131485,36.0,-1069.9763430539897,89.5,
2_family_sweep,XRP,5.0,20.0,False,,,468,-6.99070894174139,197.0,-19.879456948003785,271.0,644.6012340217749,1.0,
2_family_sweep,DOGE,2.0,5.0,True,,,9,-53.47158621960383,4.0,-46.32539799647657,5.0,-295.94268399052817,56.49999999999999,
2_family_sweep,DOGE,2.0,5.0,False,,,656,-5.039463966997286,289.0,-24.856394383749528,367.0,3877.609614553394,0.0,
2_family_sweep,DOGE,2.0,10.0,True,,,27,-17.91094045078885,8.0,-27.369861417108268,19.0,-264.6365008344328,42.5,
2_family_sweep,DOGE,2.0,10.0,False,,,1222,-6.825033698612131,431.0,-25.832050156352885,791.0,2793.4224376840684,0.0,
2_family_sweep,DOGE,2.0,15.0,True,,,79,-2.538741512538372,24.0,22.841536731576372,55.0,-748.7574610483643,93.5,
2_family_sweep,DOGE,2.0,15.0,False,,,1673,-5.880546851229116,542.0,-20.120040895208852,1131.0,1066.907283096887,0.0,
2_family_sweep,DOGE,2.0,20.0,True,,,153,-10.06597161220936,42.0,6.194033370958312,111.0,-1800.2430582482812,90.5,
2_family_sweep,DOGE,2.0,20.0,False,,,2051,-4.775803043361184,662.0,-13.755875296997427,1389.0,-688.7825953214901,0.0,
2_family_sweep,DOGE,3.0,5.0,True,,,3,-110.55268907630428,1.0,-109.67838040711467,2.0,-221.97968682179817,70.0,thin sample (<8)
2_family_sweep,DOGE,3.0,5.0,False,,,161,-0.6305144428581839,83.0,-7.193098550004779,78.0,495.51435435022904,21.0,
2_family_sweep,DOGE,3.0,10.0,True,,,21,-25.183748480447406,7.0,-38.33445979312507,14.0,-260.51749953752005,39.5,
2_family_sweep,DOGE,3.0,10.0,False,,,493,-1.0778909035752269,208.0,-19.93749461691345,285.0,3615.598664855411,0.0,
2_family_sweep,DOGE,3.0,15.0,True,,,62,6.001201762172381,21.0,9.1717447669224,41.0,179.46786914931727,56.00000000000001,
2_family_sweep,DOGE,3.0,15.0,False,,,839,-7.00847575914643,330.0,-26.116624370841265,509.0,2738.3748804537627,0.0,
2_family_sweep,DOGE,3.0,20.0,True,,,141,-5.630314285595642,50.0,9.494813230798208,91.0,-1268.614975808896,88.5,
2_family_sweep,DOGE,3.0,20.0,False,,,1215,-8.146477395867828,419.0,-22.57444532364715,796.0,-439.27744537125454,0.0,
2_family_sweep,DOGE,5.0,5.0,True,,,0,,,,,,,no trades
2_family_sweep,DOGE,5.0,5.0,False,,,14,35.74164989845303,5.0,42.71354438589915,9.0,286.8153766488467,46.5,
2_family_sweep,DOGE,5.0,10.0,True,,,6,-47.13568364355888,1.0,-109.67838040711467,5.0,-173.1357214542386,52.0,thin sample (<8)
2_family_sweep,DOGE,5.0,10.0,False,,,89,-1.0548727299736314,48.0,0.5308754739968814,41.0,-119.36569571950349,53.5,
2_family_sweep,DOGE,5.0,15.0,True,,,26,19.23667511224826,7.0,-41.015240284381434,19.0,787.2602349091248,9.0,
2_family_sweep,DOGE,5.0,15.0,False,,,272,3.2652721852911566,113.0,-9.112300758932582,159.0,1917.8440201585763,7.000000000000001,
2_family_sweep,DOGE,5.0,20.0,True,,,81,5.740059611768707,32.0,24.70295643009848,49.0,-325.5497772098861,86.5,
2_family_sweep,DOGE,5.0,20.0,False,,,526,-1.61251655161289,206.0,-22.128521040244035,320.0,3710.291628141891,0.0,
3_time_split,BTC,,,,first_half,2020-05-21 to 2022-05-30,23,-7.690124625679544,13.0,16.142256233425332,10.0,-386.7221974251588,90.0,
3_time_split,BTC,,,,second_half,2022-10-25 to 2025-03-05,24,-5.211294240400321,7.0,41.076012455961454,17.0,-412.60314896133787,96.5,
3_time_split,ETH,,,,first_half,2021-06-12 to 2023-05-06,23,30.212068888604175,7.0,68.02148912510269,16.0,218.72716056217723,87.0,
3_time_split,ETH,,,,second_half,2023-05-22 to 2025-04-21,24,-9.79501193388137,8.0,42.21029068188773,16.0,-572.7626118682547,95.0,
