name,n_tr,n_va,mean_tr,mean_va,R_tr,R_va,win_tr,stop_tr,lev_at_1pct,thick_x,verdict,extra
"sweep opening-range high -> BOS short 09:30-10:30, target 2R",154,63,-0.08124324380918767,-0.0739219692466172,-0.36839251364728764,-0.1709353651954704,29.22077922077922,0.23737211852548218,4.212794687985434,-2.0310810952296916,reject,
"sweep opening-range high -> BOS short 09:30-10:30, target 3R",154,63,-0.07136900894778768,-0.07792577876937025,-0.3369616081961798,-0.15538406399954496,25.324675324675322,0.23737211852548218,4.212794687985434,-1.784225223694692,reject,
"sweep opening-range high -> BOS short 09:30-12:00, hold to close",1224,430,-0.028065331151180394,-0.07846305492639767,-0.19479712030376622,-0.1975409171686435,25.0,0.21514585851079493,4.64800952675473,-0.7016332787795099,reject,
"sweep opening-range high -> BOS short 09:30-12:00, target 1R",1224,430,-0.04425148618988818,-0.06437255383982826,-0.44601653564992055,-0.3285749011844697,44.85294117647059,0.21514585851079493,4.64800952675473,-1.1062871547472044,reject,
"sweep opening-range high -> BOS short 09:30-12:00, target 2R",1224,430,-0.046175785742405086,-0.07950718562686729,-0.40368817457298234,-0.36222015998361173,33.169934640522875,0.21514585851079493,4.64800952675473,-1.154394643560127,reject,
"sweep opening-range high -> BOS short 09:30-12:00, target 3R",1224,430,-0.033002608331090096,-0.07305142572052455,-0.3525064093589935,-0.3554939551578816,29.248366013071898,0.21514585851079493,4.64800952675473,-0.8250652082772524,reject,
"sweep opening-range high -> BOS short all session, hold to close",4738,1535,-0.03233254927373522,-0.052394285701071505,-0.8401837390616699,-0.36765898975698724,24.905023216547068,0.17284812906364125,5.785425653243885,-0.8083137318433804,reject,
"sweep opening-range high -> BOS short all session, target 1R",4738,1535,-0.042976418147900736,-0.0539996514068644,-0.9526339904788989,-0.6006316149838216,39.63697762769101,0.17284812906364125,5.785425653243885,-1.0744104536975183,reject,
"sweep opening-range high -> BOS short all session, target 2R",4738,1535,-0.042072787417394814,-0.06068826402965146,-0.9403079346776088,-0.6062780740261065,30.941325453777967,0.17284812906364125,5.785425653243885,-1.0518196854348703,reject,
"sweep opening-range high -> BOS short all session, target 3R",4738,1535,-0.03836242705909684,-0.058960042487751635,-0.9257320377033862,-0.5856163386971583,27.69100886449979,0.17284812906364125,5.785425653243885,-0.9590606764774211,reject,
[OR15_long_farside] above 200-session avg,912,254,-0.03048245317640305,-0.030958671487409686,-0.10271473262783933,-0.11876188780385968,41.33771929824561,0.3102768163848491,3.222928517996842,-0.7620613294100763,reject,partition
[OR15_long_farside] below 200-session avg,296,141,0.03456034149005631,0.02154967782863926,0.04074541983167578,0.0880376041603741,43.91891891891892,0.56607843307694,1.7665396552284522,0.8640085372514077,reject,partition
[OR15_long_farside] prev session range > median,622,268,-0.01219219157603596,-0.01905373591120282,-0.05627180047580377,-0.03208262537448807,41.80064308681672,0.5033697286647667,1.9866113177933635,-0.304804789400899,reject,partition
[OR15_long_farside] prev session range < median,585,127,-0.017317985175870514,0.0022157735451845155,-0.08019289810688095,-0.07207932059216397,42.05128205128205,0.23410632539799248,4.2715633518229374,-0.43294962939676285,reject,partition
[OR15_long_farside] signal before 11:00,895,306,-0.018270091256224058,-0.0005610579856025269,-0.06767497665399141,0.0022916179912612637,41.00558659217877,0.3637821464923314,2.7488979589631404,-0.4567522814056014,reject,partition
[OR15_long_farside] signal after 11:00,313,89,-0.0038926662667807736,-0.052284429667073605,-0.06723989706418888,-0.2073421620325119,44.72843450479233,0.3991905802655592,2.505069130976878,-0.09731665666951934,reject,partition
[OR15_long_swing] above 200-session avg,904,253,-0.033184670803419615,-0.027599527646202122,-0.15865592093875647,-0.10409295818547472,37.7212389380531,0.2960294806343408,3.3780419364219068,-0.8296167700854904,reject,partition
[OR15_long_swing] below 200-session avg,288,139,0.037422158642033056,-0.004279023777774252,-0.04197828301467979,0.09656251386734005,42.36111111111111,0.5551327166200548,1.801371041664659,0.9355539660508264,reject,partition
[OR15_long_swing] prev session range > median,615,266,-0.005328694844071893,-0.0192058033575176,-0.09106195393951827,0.02017145254390743,40.32520325203252,0.48881087117453037,2.045781014643083,-0.13321737110179732,reject,partition
[OR15_long_swing] prev session range < median,576,126,-0.027931669549717535,-0.019593024654762526,-0.17307180265147581,-0.14507091563527164,37.15277777777778,0.21885018368010123,4.569335895380033,-0.6982917387429384,reject,partition
[OR15_long_swing] signal before 11:00,879,303,-0.02148753790461239,-0.005875241524924868,-0.11010440299612557,0.04534319995749939,38.56655290102389,0.3724242466604614,2.6851098148604122,-0.5371884476153097,reject,partition
[OR15_long_swing] signal after 11:00,313,89,-0.0010665012755000688,-0.06513782716345533,-0.1876451367516589,-0.2994642537133388,39.61661341853035,0.31989763599193033,3.12599996839372,-0.02666253188750172,reject,partition
[OR15_short_farside] above 200-session avg,825,241,-0.03158953022119696,-0.03581026244080879,-0.18163248792366216,-0.14774725329096292,31.151515151515152,0.31464330344115327,3.1782020753765283,-0.789738255529924,reject,partition
[OR15_short_farside] below 200-session avg,294,134,-0.11411182238923248,-0.06953200179077199,-0.12274337469300922,-0.09956607640751251,34.69387755102041,0.5507418584099233,1.81573269714264,-2.852795559730812,reject,partition
[OR15_short_farside] prev session range > median,573,263,-0.04819479070560866,-0.08048517937266983,-0.05112953435947552,-0.21228544897048743,33.85689354275742,0.4984617153844285,2.0061721274396573,-1.2048697676402165,reject,partition
[OR15_short_farside] prev session range < median,545,112,-0.057671145375527325,0.028750363275123196,-0.28543077727348565,0.06144759640633447,30.275229357798167,0.24836040345916624,4.026406730187219,-1.441778634388183,reject,partition
